:Product: Daily Geomagnetic Data     2013_DGD.txt
:Issued: 2130 UT 07 Jan 2014
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2013 01 20     8  3 2 3 2 2 1 1 1    20  2 2 5 5 5 1 0 0     9  3 3 3 2 3 1 0 0
2013 01 21     4  1 1 1 0 2 2 1 1     3  0 1 1 2 2 0 0 0     4  1 1 1 1 1 1 0 1
2013 01 22     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 0 0
2013 01 23     1  0 0 0 0 1 1 0 1     0  0 0 0 1 0 0 0 0     1  0 1 0 0 0 0 0 0
2013 01 24     1  1 1 0 0 0 0 0 0     0  0 0 0 1 0 0 0 0     1  1 1 0 0 0 0 0 0
2013 01 25     7  0 0 1 1 0 3 2 4     3  0 0 1 2 1 1 1 1     6  0 1 1 1 0 2 2 3
2013 01 26    18  4 1 3 4 3 3 3 4    46  3 2 6 5 6 6 4 4    18  4 2 3 3 3 3 4 4
2013 01 27     5  2 2 1 1 1 1 2 1     6  2 2 1 3 1 2 1 0     6  2 2 1 2 1 1 2 1
2013 01 28     3  0 1 2 0 1 1 2 1     3  0 1 1 0 1 3 1 0     4  1 1 1 0 1 1 2 2
2013 01 29     2  1 0 1 0 1 1 0 0     2  1 1 1 1 0 1 0 0     2  1 0 1 0 1 0 0 0
2013 01 30     2  0 0 1 0 1 1 1 0     0  0 0 0 0 0 0 0 0     2  0 0 1 0 0 0 0 0
2013 01 31     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 1 1
2013 02 01     4  1 0 0 1 2 1 2 2     3  0 0 0 3 2 1 0 0     4  1 0 0 1 1 1 1 2
2013 02 02     9  2 3 2 2 2 2 3 1    19  1 3 3 5 4 4 2 2     9  2 3 2 2 1 2 3 1
2013 02 03     6  3 1 1 2 2 1 1 1     2  0 0 0 1 2 1 0 0     4  2 1 1 1 1 1 1 1
2013 02 04     3  0 1 1 0 2 2 2 0     3  0 0 1 0 2 1 2 0     4  1 0 1 0 1 2 2 0
2013 02 05     2  1 1 2 1 1 0 0 0     3  1 1 2 2 1 0 0 0     2  1 1 1 0 0 0 0 0
2013 02 06     2  1 0 0 0 2 0 1 1     0  0 0 0 0 0 0 0 0     2  1 0 0 0 0 0 1 1
2013 02 07     7  2 2 3 2 2 2 1 1    16  0 0 4 5 5 1 1 0     6  1 1 2 2 2 1 1 1
2013 02 08     8  2 1 3 2 3 2 1 1    15  0 0 4 4 5 3 1 1     7  2 2 3 2 3 2 1 1
2013 02 09     3  2 2 1 1 0 1 1 0     2  0 1 1 1 0 0 1 0     3  2 2 1 1 0 0 1 0
2013 02 10     3  1 1 1 0 1 1 1 1     5  0 0 4 2 0 1 0 0     4  1 1 1 1 0 0 1 1
2013 02 11     3  1 1 1 0 0 1 2 1     2  1 0 1 0 0 0 1 1     4  1 1 0 0 0 1 2 1
2013 02 12     3  0 0 0 0 2 1 2 2     2  0 0 0 1 2 1 1 1     4  1 0 0 1 1 2 1 2
2013 02 13     9  2 2 1 1 2 1 3 4     7  2 2 1 3 2 0 2 2    11  2 2 1 1 1 1 3 4
2013 02 14    11  3 3 3 3 2 2 2 1    27  3 3 4 6 5 4 1 0    10  3 3 3 3 2 1 2 1
2013 02 15     3  0 1 2 1 1 1 1 1     2  1 0 1 1 1 1 1 0     4  0 1 1 1 1 1 1 1
2013 02 16     6  1 0 0 1 2 3 3 1    11  0 0 0 3 2 5 3 1     8  1 0 0 1 2 4 3 1
2013 02 17     7  1 2 1 2 3 2 2 1    23  0 1 1 4 6 5 3 2     8  1 2 2 2 3 2 3 2
2013 02 18     4  1 0 0 1 1 1 1 3     2  0 0 0 2 1 1 1 1     4  1 0 0 1 0 1 1 3
2013 02 19     5  1 2 2 1 2 2 1 0    10  0 0 2 3 4 4 2 0     6  1 2 1 1 2 2 2 1
2013 02 20     6  1 1 1 3 2 2 1 1    13  1 1 1 5 4 2 2 1     5  1 1 1 2 2 2 2 1
2013 02 21     5  2 2 2 1 2 1 1 1     5  2 2 1 0 1 2 1 2     6  2 2 2 1 1 1 2 2
2013 02 22     9  3 2 2 2 3 2 2 2    20  1 2 3 4 6 3 1 2     9  2 2 2 2 3 2 2 3
2013 02 23     6  3 1 0 1 2 2 2 2    14  1 2 1 5 5 0 1 0     6  3 1 0 1 2 1 2 2
2013 02 24     2  0 1 1 1 1 1 1 0     6  0 1 3 4 1 1 0 0     3  1 1 1 1 1 1 1 1
2013 02 25     3  0 0 0 0 1 2 2 1     2  0 0 0 1 2 0 0 1     3  0 0 0 1 1 1 1 2
2013 02 26     4  0 2 1 1 2 2 1 1     6  0 0 1 2 4 2 1 0     5  1 2 1 2 1 1 2 1
2013 02 27     4  0 1 2 1 2 1 1 1     1  0 0 1 2 0 0 0 0     4  1 1 1 1 1 1 0 1
2013 02 28     8  2 1 2 1 3 1 2 3     6  0 0 3 3 2 1 1 1     7  2 1 2 1 2 1 2 3
2013 03 01    23  4 4 3 4 4 3 3 4    64  5 4 7 7 5 6 4 1    27  4 4 3 5 4 4 4 4
2013 03 02    14  4 3 3 2 2 2 3 3    17  3 4 4 2 3 4 2 2    12  4 3 2 1 2 2 3 3
2013 03 03     6  2 2 1 2 2 2 1 1    10  3 3 1 4 2 2 1 1     7  3 3 2 2 1 2 1 2
2013 03 04     4  2 1 1 1 2 0 1 1     6  2 1 0 4 2 0 0 0     4  2 1 1 1 1 1 0 1
2013 03 05     3  3 0 0 0 1 1 1 1     1  1 0 1 0 0 1 0 0     4  3 1 0 1 1 0 1 1
2013 03 06     4  1 2 0 1 1 2 1 1     1  0 1 0 0 0 0 1 0     3  1 2 0 0 0 1 1 1
2013 03 07     2  0 1 1 1 1 1 1 0     1  0 0 0 2 1 0 0 0     4  1 1 1 1 1 1 1 1
2013 03 08     3  0 0 1 1 1 1 2 1     1  0 0 0 0 0 0 1 1     3  0 0 1 1 1 1 1 1
2013 03 09     6  2 1 2 2 2 2 2 1     4  1 0 1 2 3 1 1 0     6  2 1 1 2 2 1 2 1
2013 03 10     3  1 0 1 1 2 1 1 1     0  1 0 0 0 0 0 0 0     4  1 0 1 1 1 1 1 2
2013 03 11     4  2 2 2 0 1 1 1 1     2  2 1 1 0 0 0 0 0     5  2 2 2 1 1 1 1 1
2013 03 12     6  1 1 2 1 3 2 2 1     4  1 0 2 0 3 0 1 0     5  1 1 2 1 2 1 2 1
2013 03 13     3  2 1 1 1 1 1 1 0     3  1 1 2 2 0 0 0 0     4  1 1 1 1 1 1 1 1
2013 03 14     4  0 1 0 1 3 1 1 1     4  0 0 0 3 2 1 1 0     5  0 1 0 2 2 1 1 1
2013 03 15     5  0 3 2 2 2 1 0 1    11  0 1 4 5 1 0 0 1     6  0 3 2 2 1 1 0 1
2013 03 16     8  3 3 2 2 2 2 1 1    13  2 3 4 4 3 2 1 1    10  3 3 3 2 2 2 1 2
2013 03 17    32  2 1 5 5 5 5 4 4    79  1 0 6 7 7 7 6 5    46  2 1 6 5 5 6 6 5
2013 03 18     6  2 2 2 1 2 2 2 1     7  2 2 3 2 1 1 2 1     7  3 2 2 2 1 1 2 2
2013 03 19     4  1 1 1 1 1 1 2 2     3  2 1 0 0 0 1 2 2     5  2 1 1 0 0 1 2 2
2013 03 20     7  1 2 2 1 2 2 2 3    18  2 4 2 1 5 4 2 3     9  2 2 2 1 2 2 3 3
2013 03 21    11  3 4 4 1 1 1 1 1    14  3 5 4 2 1 1 1 1    12  4 4 4 1 1 1 1 1
2013 03 22     2  0 0 0 1 1 1 2 1     2  0 0 0 1 0 1 2 1     4  1 0 0 1 1 1 2 2
2013 03 23    10  2 1 2 2 2 2 3 4    15  2 1 2 4 5 2 3 2    11  2 1 2 2 3 2 3 4
2013 03 24     6  2 1 2 2 2 2 2 1    11  2 1 2 5 2 3 1 0     5  2 1 2 2 1 1 2 1
2013 03 25     3  0 0 1 1 2 1 2 1     2  0 0 0 1 1 0 1 1     4  0 0 1 1 1 1 2 1
2013 03 26     2  1 0 0 1 1 2 1 0     0  1 0 0 0 0 0 0 0     3  1 1 0 1 0 1 1 0
2013 03 27     9  1 2 2 2 3 2 2 3    29  2 2 3 5 6 5 3 3    14  1 2 2 3 3 4 3 4
2013 03 28    10  4 1 1 2 2 3 2 2    15  3 2 4 5 1 2 2 1     9  4 1 1 2 1 2 2 2
2013 03 29    19  3 3 4 4 3 4 2 3    51  2 4 7 6 5 6 3 2    23  3 3 4 4 3 5 3 3
2013 03 30    12  4 4 2 2 2 2 2 2    21  4 6 2 4 2 2 2 1    17  5 5 2 2 1 2 3 2
2013 03 31     3  1 0 0 1 1 2 1 1     4  2 1 1 1 0 2 1 1     4  1 0 1 1 1 2 1 1
2013 04 01     6  1 2 2 2 2 2 1 2     8  2 1 3 4 1 1 0 1     6  1 2 2 2 1 1 1 2
2013 04 02     4  2 0 0 1 1 2 2 1     0  1 0 0 0 0 0 0 0     4  2 1 0 1 1 1 1 2
2013 04 03     3  0 0 1 1 2 1 1 1     0  0 0-1-1-1-1-1-1     3  1 0 1 1 1 1 1 1
2013 04 04     3  0 2 1 1 2 1 1 0     5 -1-1-1-1 3 1 0 0     4  1 2 1 1 1 1 0 1
2013 04 05     3  0 1 1 0 1 2 1 2     0  0 0 0 0 0 0 1 0     3  0 1 0 1 1 1 1 1
2013 04 06     4  1 2 1 1 2 1 1 1     3  1 1 2 2 1 0 0 0     5  1 1 2 1 1 1 1 1
2013 04 07     5  1 1 1 2 3 1 2 0     7  1 2 1 3 4 1 0 0     5  1 1 1 1 2 2 1 0
2013 04 08     4  0 0 1 0 2 3 1 1     0  0 0 1 0 0 0 0 0     3  0 0 1 1 1 1 1 1
2013 04 09     4  1 1 0 2 2 1 1 1     1  1 1 0 0 0 0 1 0     4  1 1 1 2 1 1 1 1
2013 04 10     5  1 1 1 1 2 2 1 2     3  0 1 1 2 1 0 1 1     5  1 1 1 1 1 1 1 2
2013 04 11     4  0 1 1 1 2 1 1 2     4  0 0 0 3 2 1 1 2     5  1 1 1 1 1 2 1 2
2013 04 12     4  1 1 1 1 2 2 1 0     3  1 2 1 1 1 0 1 1     5  2 2 1 1 1 1 1 1
2013 04 13     6  2 2 1 1 2 1 1 3     4  2 2 0 2 1 0 0 2     6  2 2 1 1 1 1 0 3
2013 04 14    10  2 3 2 3 2 3 2 2    14  2 1 5 4 3 2 1 1    10  2 3 3 3 2 3 2 2
2013 04 15     6  1 1 1 1 2 1 3 2     2  1 1 0 0 0 0 2 1     5  1 1 1 1 1 0 3 2
2013 04 16     2  2 0 0 0 1 1 1 1     2  1 0 0 0 0 1 1 1     3  2 0 0 0 0 1 1 1
2013 04 17     2  0 0 1 0 2 1 0 1     1  0 1 1 0 1 0 0 0     3  1 1 1 0 1 1 0 1
2013 04 18     2  1 0 0 0 1 1 1 1     1  1 0 0 1 1 0 0 0     3  1 0 0 1 1 1 1 0
2013 04 19     1  0 0 0 0 2 0 0 0     0  0 0 0 0 0 0 0 0     2  0 0 0 1 1 1 0 1
2013 04 20     2  0 0 1 1 2 1 0 1     5  0 0 0 4 3 0 0 0     4  0 0 1 2 2 1 0 1
2013 04 21     3  0 0 0 1 2 2 2 0     0  0 0 0 0 0 0 0 0     3  0 0 0 1 1 2 1 1
2013 04 22     5  1 2 0 1 2 2 1 2     0  1 0 0 0 0 0 0 0     4  1 2 0 1 1 1 1 1
2013 04 23     6  0 1 1 2 3 2 2 2     3  0 1 2 1 0 1 1 2     7  0 1 1 2 2 2 2 3
2013 04 24    15  3 2 3 3 4 2 3 3    36  3 5 3 5 6 5 3 3    19  4 3 2 3 4 3 4 3
2013 04 25    14  2 2 1 3 3 2 5 2    14  2 2 2 5 3 3 2 1     8  2 2 1 2 2 2 3 2
2013 04 26    18  4 5 3 3 2 2 2 3    33  3 4 5 6 4 5 2 3    17  3 5 3 3 3 2 3 3
2013 04 27     6  2 3 1 1 2 2 1 1     7  3 2 2 1 2 2 1 1     6  2 2 2 1 1 1 1 2
2013 04 28     4  0 0 0 2 2 2 1 2     5  1 0 0 3 3 2 1 0     5  0 0 0 2 2 1 2 2
2013 04 29     5  2 0 1 1 1 2 2 2     3  1 1 0 1 2 1 0 2     5  2 1 1 1 1 1 1 2
2013 04 30     6  1 1 2 2 2 2 1 2     6  2 2 2 2 2 1 1 2     7  2 1 1 2 2 2 1 3
2013 05 01    16  2 2 4 4 4 2 3 2    57  3 4 6 6 6 6 6 3    21  3 3 4 4 4 3 4 3
2013 05 02    11  3 4 2 2 2 2 2 2    13  3 4 3 4 1 2 2 1    13  4 4 2 2 2 2 2 2
2013 05 03     5  2 2 1 1 1 1 2 1     6  2 2 2 1 1 2 2 1     6  2 2 1 1 1 2 2 1
2013 05 04     5  1 1 1 1 2 2 2 1     6  1 1 2 2 2 3 1 1     5  1 1 2 1 1 2 1 1
2013 05 05     7  1 2 2 1 3 2 2 1    10  2 3 3 2 4 2 1 0     7  2 2 2 1 2 3 2 1
2013 05 06     9  1 0 3 2 3 2 2 3    11  2 1 4 3 3 1 2 2     8  1 1 3 2 2 2 2 3
2013 05 07    11  3 2 3 3 3 2 2 1    15  3 3 4 4 3 2 2 1    10  3 3 3 2 2 2 2 2
2013 05 08     8  3 2 2 1 2 2 2 2     7  1 2 2 2 1 3 2 1     7  3 2 2 1 1 2 1 2
2013 05 09     4  1 1 1 2 2 1 1 0     4  2 2 1 3 1 0 0 0     5  2 2 2 2 1 1 1 1
2013 05 10     4  1 1 1 1 2 2 1 1     3  2 1 1 2 2 0 0 0     5  1 1 1 1 2 1 1 1
2013 05 11     4  0 1 1 1 2 2 1 1     1  0 2 0 1 0 0 0 0     4  0 2 1 1 1 1 1 1
2013 05 12     6  2 2 1 2 2 1 2 1     2  1 2 0 1 0 1 0 1     5  2 2 1 1 1 2 1 1
2013 05 13     6  1 1 1 1 2 3 2 1     3  1 1 2 0 0 2 1 0     6  1 1 1 1 1 3 1 1
2013 05 14     7  1 1 2 2 3 2 2 2    22  2 1 3 5 5 5 2 1     8  2 1 2 3 3 2 2 2
2013 05 15    10  0 1 2 3 4 2 3 2    10  1 1 2 2 5 2 1 0     9  1 1 2 3 3 2 2 1
2013 05 16    12 -1-1-1-1-1 3 2 3    11  3 4 2 1 2 2 1 3    14  3 4 2 2 3 4 2 3
2013 05 17     9  2 3 2 2 2 2 3 2    14  3 3 1 5 3 2 2 1     9  2 3 2 1 2 3 3 2
2013 05 18    16  4 5 3 2 2 2 2 2    30  5 6 4 5 3 2 2 2    21  5 5 4 3 2 2 3 2
2013 05 19    11  3 2 2 2 2 2 2 4    30  3 2 5 4 5 6 2 2    12  4 2 3 2 2 3 2 4
2013 05 20     6  2 1 0 1 3 2 2 2     6  2 2 0 2 2 2 2 1     7  3 2 1 1 2 2 2 2
2013 05 21     8  2 2 2 2 3 1 2 2     7  2 1 4 1 1 0 1 2     7  2 2 2 1 1 1 2 2
2013 05 22    10  3 2 2 2 3 2 3 2    15  3 2 2 4 4 4 2 1    12  4 2 2 2 3 3 2 3
2013 05 23     8  1 3 1 2 3 2 2 2    10  1 3 2 4 3 1 2 1     7  2 3 1 2 2 2 2 2
2013 05 24    17  2 3 2 2 3 2 5 4    25  2 3 4 4 6 3 3 3    20  2 3 3 2 3 2 5 4
2013 05 25    25  4 5 4 3 3 4 3 4    55  4 5 5 5 6 6 6 4    32  4 5 3 4 4 5 4 5
2013 05 26    19  4 4 4 2 3 3 3 3    24  3 4 6 4 3 3 2 2    18  4 4 4 2 2 3 3 3
2013 05 27     8  2 2 2 2 2 2 3 2    28  3 4 2 5 6 3 3 3    13  2 3 2 3 3 3 4 3
2013 05 28     8  3 3 2 2 2 2 1 0    16  3 3 5 4 3 1 1 1     8  3 3 2 2 2 1 1 1
2013 05 29     2  0 0 0 1 1 1 0 1     0  1 0 0 0 0 0 0 0     2  0 1 0 1 1 1 0 0
2013 05 30     2  1 0 0 1 1 2 1 0     1  1 0 0 0 0 1 1 0     3  1 1 0 1 1 1 1 1
2013 05 31     7  0 0 0 2 3 2 3 3     3  0 0 0 0 1 2 2 2     9  1 1 0 1 1 3 3 4
2013 06 01    41  5 5 6 5 5 3 4 3    58  5 7 6 6 5 4 4 3    49  6 6 6 5 6 4 4 3
2013 06 02    16  4 3 3 3 3 2 3 3    44  5 5 6 6 5 4 3 2    19  5 4 3 3 3 3 3 3
2013 06 03     9  3 2 2 2 2 2 2 3    12  4 2 1 3 3 2 2 3    10  3 2 2 2 2 2 2 3
2013 06 04    10  3 3 3 2 2 1 2 2    11  3 3 4 3 1 1 1 2    10  3 3 2 2 1 1 2 3
2013 06 05     9  2 2 2 1 2 2 4 2     7  2 2 2 2 3 1 1 1     6  3 2 1 1 2 1 2 1
2013 06 06    16  2 3 3 3 3 4 3 3    37  2 3 6 4 5 6 3 4    17  2 3 3 3 3 4 3 4
2013 06 07    26  4 5 5 5 3 2 2 2    65  5 7 7 7 4 3 2 1    32  5 6 5 4 3 2 2 2
2013 06 08     9  2 3 3 3 2 1 1 1    12  0 1 5 4 2 1 1 1    10  3 3 3 3 2 1 1 1
2013 06 09     8  1 1 2 2 3 2 2 3    15  2 2 2 4 5 3 2 1     9  1 2 2 2 3 3 2 3
2013 06 10    12  2 4 3 3 3 2 2 1    19  2 4 5 4 4 2 2 1    13  3 4 4 3 2 2 2 1
2013 06 11     6  1 0 1 2 3 2 2 2     7  1 0 0 3 3 3 1 1     6  1 1 1 1 3 2 2 2
2013 06 12     5  1 1 1 1 2 2 2 1     3  1 2 2 0 0 1 0 1     5  1 1 1 1 1 1 1 1
2013 06 13     6  1 2 1 2 2 2 2 1     1  1 1 0 0 0 0 1 0     4  2 2 0 1 1 1 1 1
2013 06 14     5  1 1 1 2 2 1 2 1     1  1 1 0 0 0 0 0 1     4  1 1 0 1 1 1 1 2
2013 06 15     4  2 1 2 0 2 1 1 1     2  2 1 1 0 0 0 0 0     5  2 1 1 1 1 1 1 1
2013 06 16     3  0 0 0 1 2 1 2 1     0  0 0 0 0 0 0 0 1     3  1 0 0 1 1 1 1 1
2013 06 17     5  1 2 2 1 2 2 1 1     3  1 1 2 2 1 0 1 0     4  1 2 2 1 1 1 1 1
2013 06 18     7  1 1 1 1 3 3 2 1     6  1 1 1 0 3 3 1 1     5  1 1 1 1 1 2 2 1
2013 06 19     4  1 1 0 1 2 2 1 2     3  2 2 0 0 1 1 0 1     5  2 1 0 1 1 2 1 2
2013 06 20    12  2 2 2 2 3 2 4 3    10  2 2 2 2 3 3 3 2    11  2 2 1 2 2 2 4 3
2013 06 21    17  4 4 3 3 3 2 3 3    23  3 4 5 5 3 2 3 2    17  4 4 3 3 2 3 3 3
2013 06 22    13  3 3 3 3 3 2 2 3    19  3 3 3 5 4 2 2 3    14  4 3 3 2 2 2 3 3
2013 06 23    16  3 4 4 3 2 3 2 3    23  4 5 4 4 3 4 2 2    15  4 4 4 3 2 3 3 3
2013 06 24    14  3 3 2 3 3 3 3 3    30  3 3 3 4 5 6 4 3    15  3 3 2 3 3 3 4 3
2013 06 25     9  3 3 2 2 2 1 2 2    11  3 3 4 2 1 2 2 2     8  3 3 2 2 1 2 2 2
2013 06 26     2  0 0 0 1 1 2 1 1     1  1 1 0 0 0 1 0 0     4  1 1 1 1 1 1 1 1
2013 06 27     8  1 0 0 2 3 2 3 3     3  1 1 0 0 1 1 2 2     8  1 1 1 1 3 2 3 3
2013 06 28    20  4 4 2 2 3 3 3 5    47  4 4 2 5 6 6 6 4    22  4 4 2 2 3 4 4 5
2013 06 29    40  6 6 5 5 3 3 3 3    73  3 6 7 8 5 4 3 3    51  6 7 5 6 4 3 4 4
2013 06 30    11  3 2 2 3 3 2 2 3    11  3 1 2 3 4 2 2 2    11  3 3 2 2 2 2 3 2
2013 07 01    10  2 3 3 2 3 2 2 1    11  3 2 4 4 2 0 1 1     8  3 3 3 2 1 1 1 1
2013 07 02     5  1 1 1 2 2 2 1 1     2  0 1 1 0 0 1 1 0     4  1 1 1 1 1 1 1 1
2013 07 03     4  1 0 1 1 2 2 1 2     2  2 0 1 0 0 1 1 1     4  1 1 1 1 1 1 1 2
2013 07 04     4  1 0 0 1 2 2 1 2     2  1 1 0 0 0 2 1 1     5  1 1 1 1 2 2 2 2
2013 07 05    10  2 3 2 2 3 2 3 1     9  2 3 3 3 1 1 2 1     9  2 2 2 2 2 2 3 2
2013 07 06    20  3 4 4 5 3 2 2 3    52  5 5 5 5 5 6 6 3    21  3 4 4 4 4 3 3 4
2013 07 07     7  3 2 1 1 2 2 2 1     6  4 2 1 1 2 0 0 0     8  4 2 1 1 1 2 1 1
2013 07 08     7  1 2 3 1 2 3 1 1     8  2 2 4 2 2 1 1 1     6  1 2 2 1 1 2 1 1
2013 07 09     8  0 0 1 2 2 3 3 3     9  0 1 2 3 2 4 2 2     9  0 1 1 1 2 3 3 4
2013 07 10    20  4 4 3 4 3 3 3 3    47  5 4 4 6 5 6 5 3    25  5 5 3 4 3 3 4 3
2013 07 11    15  2 3 4 3 3 3 3 2    63  2 4 8 5 6 6 3 2    18  2 3 5 3 3 3 4 2
2013 07 12     9  2 2 2 2 3 2 2 3    12  3 3 3 3 2 2 2 3     9  2 3 2 2 2 2 2 3
2013 07 13     8  3 3 2 1 2 1 2 2     9  3 3 3 1 1 2 2 2    10  4 3 2 1 1 2 2 2
2013 07 14    15  0 3 3 3 3 3 3 4    58  4 4 5 6 6 7 5 3    20  3 3 3 3 4 4 4 4
2013 07 15    33  6 6 5 4 3 2 1 2    34  4 4 6 4 5 5 3 1    25  5 5 4 3 3 3 2 2
2013 07 16     5  0 2 1 1 2 2 2 2     6  1 2 2 2 2 2 1 1     5  1 2 1 1 1 2 2 1
2013 07 17     5  0 1 2 1 2 2 1 2     2  1 1 1 0 0 1 1 1     5  1 1 2 1 1 1 1 2
2013 07 18    16  0 0 2 2 4 5 4 3    26  1 0 2 3 6 6 3 2    15  1 1 2 2 4 4 4 3
2013 07 19    13  3 2 3 3 3 2 3 3    26  3 3 5 5 5 3 3 2    14  3 2 3 2 3 3 3 3
2013 07 20     6  3 1 1 1 2 2 2 1     4  3 2 1 2 1 0 0 0     6  3 1 2 1 1 1 1 1
2013 07 21     4  1 1 0 2 2 2 1 1     3  1 1 1 1 1 1 1 0     5  1 1 1 1 1 2 1 2
2013 07 22     6  1 0 1 1 2 2 2 3     1  0 0 0 0 0 1 1 1     6  1 1 1 1 1 2 1 3
2013 07 23     5  2 2 1 1 2 1 1 2     3  2 2 1 0 1 0 1 1     5  2 2 1 1 1 2 1 2
2013 07 24     6  2 1 0 2 3 1 2 1     2  1 1 1 0 1 0 1 0     5  2 1 1 1 2 2 1 1
2013 07 25    10  0 2 1 2 2 1 4 4     6  0 1 1 1 0 2 3 3    11  1 2 1 1 2 3 4 4
2013 07 26    23  4 5 5 3 3 3 2 2    20  4 4 2 4 5 2 2 2    14  4 4 2 3 2 2 2 2
2013 07 27    10  3 1 1 3 3 2 3 1    13  2 2 2 4 4 3 2 1    11  3 2 1 3 3 3 3 2
2013 07 28     8  2 2 2 2 2 2 2 3     8  2 3 2 3 1 1 1 2     7  2 2 2 2 1 1 2 3
2013 07 29     7  2 2 2 1 3 2 1 1     8  2 2 1 2 4 2 0 1     6  2 2 2 1 2 2 1 1
2013 07 30     6  0 2 1 2 3 1 2 2     7  1 1 2 3 3 1 1 1     6  1 2 1 1 2 2 2 2
2013 07 31     5  2 1 0 1 2 2 2 1     5  2 1 0 2 3 1 1 1     5  2 1 1 1 2 1 2 1
2013 08 01     4  1 2 1 1 2 1 1 1     4  2 2 1 1 2 1 0 0     5  1 2 1 1 2 2 1 1
2013 08 02     3  0 1 0 1 2 1 2 0     2  1 1 1 1 0 0 1 0     4  1 1 0 1 1 1 1 1
2013 08 03     6  1 0 1 1 3 2 2 2     2  1 0 0 1 0 0 1 1     5  1 1 1 1 2 1 1 2
2013 08 04    11  1 1 3 3 2 3 3 3    23  1 2 3 3 1 6 5 3    16  1 2 3 2 2 5 3 4
2013 08 05    11  3 3 3 2 2 3 2 2    22  4 4 5 4 3 2 3 2    16  5 4 3 2 2 2 2 3
2013 08 06     6  2 2 2 1 2 1 2 2     8  1 2 3 2 3 0 2 2     7  2 2 2 1 1 1 2 2
2013 08 07     6  2 1 2 2 3 1 1 1     3  2 1 2 1 0 0 1 0     4  2 1 2 1 1 1 1 1
2013 08 08     4  0 0 1 1 2 1 2 2     3  0 0 2 1 0 0 1 2     5  1 1 1 1 1 1 1 2
2013 08 09    11  1 3 3 2 3 2 3 2     5  0 2 1 3 2 0 2 1     9  1 3 3 2 2 2 2 2
2013 08 10     7  1 2 2 2 3 2 2 1     6  2 1 2 3 3 1 0 0     6  2 2 2 2 2 2 2 1
