:Product: Daily Geomagnetic Data     2016_DGD.txt
:Issued: Jan 02 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                         2016 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2016 01 19     7  2 2 3 2 1 2 2 1     9  2 3 3 4 2 0 0 0    11  4 3 3 3 1 1 0 1
2016 01 20    12  0 1 3 3 3 3 3 3    -1 -1-1-1-1-1-1-1-1    25  1 2 4 4 4 5 5 4
2016 01 21    15 -1-1-1-1-1 3 3 3    23 -1-1-1-1-1 4 3 4    32  4 6 5 3 3 4 4 4
2016 01 22    10  3 3 3 2 2 2 2 1    15  3 2 3 4 4 3 2 2    14  4 4 3 3 2 2 3 2
2016 01 23    10  1 3 4 2 3 2 1 1    17  2 3 4 2 5 3 3 1    12  2 3 4 2 3 3 2 1
2016 01 24     9  2 2 1 1 1 3 4 2    12  2 2 2 2 3 4 3 2    11  3 2 2 1 2 3 4 2
2016 01 25     3  1 1 1 0 2 2 1 0     0  0 0 0 1 0 0 0 0     3  1 1 1 1 1 0 0 0
2016 01 26     3  0 0 1 1 2 2 2 0     2  0 0 1 1 1 1 0 0     4  0 1 1 1 1 1 2 1
2016 01 27     3  0 2 1 1 1 1 1 1     1  0 1 1 0 1 0 0 0     5  1 3 1 2 1 1 0 1
2016 01 28     5  1 1 2 2 2 2 1 0    22  0 0 6 6 3 1 0 0     6  1 1 3 3 1 1 1 1
2016 01 29     3  0 0 0 1 2 2 1 1     1  0 0 2 1 0 0 0 0     3  0 1 1 1 1 1 1 1
2016 01 30     3  0 1 1 0 2 2 1 1     1  0 0 1 1 1 0 0 0     3  0 0 1 1 0 1 1 1
2016 01 31     8  1 2 3 2 2 1 1 3    15  0 0 3 4 5 3 2 2    10  2 2 3 2 2 2 2 4
2016 02 01     6  2 3 3 2 0 1 1 0     8  2 3 4 3 0 0 0 0     9  3 3 3 2 0 1 1 0
2016 02 02     4  0 0 1 0 2 1 1 3     5  0 0 0 1 3 3 1 1     6  0 1 2 1 1 2 2 3
2016 02 03    10  4 4 2 1 1 1 1 1    11  4 4 2 3 1 1 1 1    14  4 5 2 1 1 1 1 1
2016 02 04     5  0 1 2 1 3 2 1 1    10  0 0 2 3 5 2 1 1     6  0 1 2 2 3 2 2 1
2016 02 05     8  2 3 2 2 2 2 2 1    18  1 4 2 5 4 3 2 2    12  3 3 3 2 2 2 3 2
2016 02 06     5  1 2 2 1 1 2 1 2    11  2 1 1 5 3 1 1 1     8  2 3 2 2 1 2 2 3
2016 02 07     6  2 0 1 1 2 3 2 2    13  1 0 0 4 3 5 2 1     8  2 1 1 2 2 4 2 2
2016 02 08    11  4 3 4 2 2 1 1 0    21  5 4 5 4 2 2 1 0    17  5 4 4 2 2 1 1 1
2016 02 09     8  2 1 1 3 3 2 1 2    19  1 0 2 6 5 2 1 1    10  2 1 2 4 3 1 1 3
2016 02 10     4  2 1 2 1 1 1 1 1     6  1 1 2 4 2 0 0 0     5  3 2 2 1 1 0 1 1
2016 02 11     8  2 1 2 2 2 2 2 3    16  1 2 3 4 5 3 1 2    11  3 2 2 2 2 2 2 4
2016 02 12    11  4 2 2 3 2 2 2 2    19  3 2 2 5 5 3 2 1    13  4 3 2 4 3 2 2 2
2016 02 13     7  2 3 2 2 2 2 1 1    10  1 2 3 5 1 0 0 1     7  2 3 3 2 1 1 1 1
2016 02 14     6  2 2 2 2 2 2 1 1    16  1 1 4 4 4 4 3 0    10  3 3 3 2 2 3 2 1
2016 02 15    10  2 2 3 2 2 1 1 4     7  1 1 2 3 3 2 0 2    11  2 2 3 2 2 1 1 4
2016 02 16    25  3 3 3 4 5 4 4 4    76  3 3 5 7 7 7 6 4    38  4 3 3 5 5 5 6 5
2016 02 17    21  5 2 4 3 3 3 3 4    48  4 4 5 6 6 5 4 5    34  5 3 5 3 4 3 5 6
2016 02 18    20  4 4 3 4 2 3 4 3    40  3 4 5 6 5 5 5 2    29  4 5 4 4 3 3 5 4
2016 02 19    10  3 3 2 2 2 3 2 2    27  3 2 4 6 4 4 3 3    15  3 3 2 3 3 3 3 3
2016 02 20     5  2 2 2 1 1 1 1 1     7  2 2 4 1 2 2 0 0     6  3 2 2 1 1 1 1 1
2016 02 21     3  1 1 0 0 2 2 1 1     2  1 1 0 0 2 0 1 0     4  1 2 1 0 1 1 2 2
2016 02 22     3  0 1 0 1 2 2 1 1     2  0 0 0 2 1 1 0 0     4  1 0 0 1 1 1 1 1
2016 02 23     5  2 1 1 0 1 2 2 2     2  1 0 0 0 1 1 1 2     6  2 1 1 1 1 1 2 3
2016 02 24     5  2 2 1 1 2 2 1 1     9  2 1 3 3 4 1 1 0     7  3 2 2 1 2 1 1 2
2016 02 25     6  1 2 2 1 1 2 2 2     2  1 0 1 1 1 0 0 0     5  1 2 2 1 1 1 1 2
2016 02 26     5  2 2 1 1 2 2 1 0     3  1 0 0 0 3 1 0 0     7  3 3 1 1 2 1 1 0
2016 02 27     3  0 1 2 1 1 1 1 1     4  0 0 3 3 1 0 0 0     4  0 1 2 1 0 1 1 1
2016 02 28     4  1 1 2 1 2 1 1 0     4  0 0 1 2 3 1 0 0     4  1 1 2 1 1 0 1 1
2016 02 29     4  2 1 1 1 1 1 1 2     3  1 0 1 2 2 0 0 1     5  2 0 1 1 1 1 1 2
2016 03 01     8  3 2 2 1 2 2 1 3     7  1 1 2 3 3 1 1 1     9  3 2 2 2 2 2 1 3
2016 03 02     7  3 1 1 2 3 2 1 0     6  1 0 0 3 3 3 1 0     7  3 1 1 2 2 3 1 1
2016 03 03     7  1 3 2 3 2 1 1 1    11  1 1 2 5 3 2 0 2     8  2 3 2 3 2 1 1 2
2016 03 04     2  2 1 0 1 1 1 0 0     2  1 1 0 2 0 1 0 0     4  3 1 0 1 0 1 1 0
2016 03 05     3  0 0 2 1 2 1 1 0     8  0 0 2 4 4 1 0 0     4  0 0 2 2 2 1 1 1
2016 03 06    19  1 1 2 2 2 4 5 5    28  0 0 1 1 1 7 4 5    35  1 1 2 2 2 5 6 7
2016 03 07    17  4 4 3 2 2 2 3 4    30  3 4 4 5 5 5 3 3    24  5 5 4 2 3 3 4 4
2016 03 08     6  2 2 2 2 2 1 2 0    18  2 2 3 4 5 4 2 1     8  3 2 2 2 2 1 2 1
2016 03 09     6  2 1 2 2 2 1 1 2    12  1 2 3 4 4 3 1 0     7  2 2 2 2 2 2 2 2
2016 03 10     7  2 3 2 1 2 1 1 2    12  1 1 3 4 4 3 0 1    10  3 3 2 2 3 2 2 2
2016 03 11    21  1 3 3 3 6 3 3 2    33  1 3 4 4 7 4 3 2    23  2 3 3 3 6 4 4 3
2016 03 12    11  3 2 2 3 2 3 3 1    10  2 2 2 2 1 4 3 1    13  4 3 2 3 1 3 3 1
2016 03 13     4  1 2 1 1 2 1 1 0     3  1 2 1 0 2 0 0 0     4  1 2 1 1 1 0 0 1
2016 03 14    11  1 2 2 2 2 3 3 4     8  0 0 3 3 1 1 3 3    14  2 2 2 2 1 3 4 5
2016 03 15    17  3 4 4 3 1 3 3 3    33  3 4 6 6 3 3 3 3    24  4 4 4 4 2 3 5 4
2016 03 16    13  4 2 3 2 2 2 2 4    26  4 3 4 5 5 2 2 4    22  5 2 3 3 3 1 3 5
2016 03 17    16  4 4 4 3 2 2 2 2    40  5 5 3 6 6 4 3 2    21  5 5 3 4 2 3 3 3
2016 03 18     6  1 1 3 2 2 1 1 2    23  1 1 3 6 5 4 2 1     8  2 2 3 2 2 2 2 3
2016 03 19    12  2 3 3 3 3 3 3 0    38  2 3 5 7 5 4 3 0    18  2 3 4 4 3 4 2 1
2016 03 20     6  1 3 1 1 2 2 2 1    21  1 2 1 3 4 6 4 2    10  2 3 2 2 2 3 4 2
2016 03 21     7  1 1 2 3 2 2 1 2     9  2 1 3 4 2 2 1 1     8  2 2 2 2 2 2 1 3
2016 03 22     6  2 2 1 2 2 1 1 2     9  2 1 4 4 2 0 0 0     8  3 2 2 3 2 0 1 2
2016 03 23     7  1 2 3 2 2 2 1 2    15  1 4 5 4 2 0 2 1    10  2 3 4 2 2 1 2 3
2016 03 24     7  3 2 2 1 2 2 1 2     3  2 0 2 1 1 0 1 1     7  3 2 2 2 1 1 1 2
2016 03 25     6  3 1 1 1 2 2 1 1     4  3 1 0 2 2 0 0 0     6  3 2 1 1 1 1 1 0
2016 03 26     2  0 0 1 0 1 2 1 1     0  0 0 0 0 1 0 0 0     3  0 1 1 0 1 1 1 1
2016 03 27    10  2 2 3 3 2 3 2 2    12  2 2 3 3 4 3 2 1    13  3 2 3 3 2 3 3 2
2016 03 28     9  2 4 1 1 2 2 2 2     6  1 3 1 2 1 1 2 2    10  2 4 1 1 2 1 3 3
2016 03 29     8  3 3 2 2 2 2 1 1    22  3 2 3 6 5 2 1 1    11  3 3 3 3 2 2 1 1
2016 03 30    10  3 1 2 1 3 3 3 2    21  2 1 2 5 6 3 2 1    12  3 2 2 2 4 2 3 2
2016 03 31     5  3 2 2 1 1 1 0 1     4  2 1 1 2 2 1 1 0    10  3 3 2 1 1 1 0 1
2016 04 01     2  1 0 0 0 1 1 1 1     0  1 0 0 0 0 0 0 0     3  1 0 0 0 0 0 1 1
2016 04 02    15  1 0 0 1 3 4 4 5    17  2 0 0 0 2 6 3 4    22  2 1 0 1 3 5 4 6
2016 04 03    13  4 3 3 3 2 1 1 3    20  3 4 4 5 2 3 1 3    15  4 3 3 3 1 2 2 4
2016 04 04     6  2 2 2 2 3 0 1 1     6  1 1 3 2 3 1 0 0     7  3 3 1 2 2 0 1 1
2016 04 05     5  1 1 1 1 3 1 1 1     6  0 1 1 1 4 1 1 1     5  2 1 1 1 2 1 2 1
2016 04 06     7  2 1 1 3 3 1 1 1    13  2 2 1 5 4 3 0 0     7  2 1 2 3 2 2 1 1
2016 04 07    10  2 1 0 1 2 2 4 4     5  0 0 1 2 1 1 2 3    17  2 1 1 1 1 2 5 5
2016 04 08     6  3 2 2 1 1 1 1 1     5  3 3 2 0 0 1 1 0     9  5 3 2 1 0 1 1 1
2016 04 09     3  0 0 0 1 2 2 2 0     1  0 0 0 0 1 2 0 0     3  1 1 1 1 1 1 1 0
2016 04 10     6  0 2 3 2 2 1 1 2     7  1 1 4 3 0 0 0 2     7  1 2 3 2 2 1 0 3
2016 04 11     5  0 0 1 1 3 3 1 1     4  0 0 0 1 2 3 1 1     6  1 0 1 1 2 3 1 1
2016 04 12    12  2 2 2 2 2 3 3 4    21  2 2 3 3 5 5 3 3    19  3 3 2 2 3 3 4 5
2016 04 13    16  3 3 3 3 4 2 3 3    45  4 4 6 6 6 5 2 2    26  5 4 4 4 4 3 4 3
2016 04 14    14  3 3 2 4 3 3 2 2    47  3 3 4 7 6 6 3 2    23  4 3 2 5 4 4 3 3
2016 04 15     9  4 2 0 1 3 2 2 1     4  3 1 0 1 1 1 1 1     9  4 2 1 1 2 2 2 2
2016 04 16     8  0 0 2 2 3 2 3 3    14  0 0 2 5 3 3 3 3    12  1 1 3 2 2 3 4 4
2016 04 17    17  4 4 3 2 3 3 3 3    33  4 5 5 5 4 5 3 1    19  4 4 3 2 2 3 4 3
2016 04 18     7  3 2 2 1 2 1 2 1     4  2 1 1 2 1 0 1 1     5  3 1 2 1 1 0 1 1
2016 04 19     3  0 0 1 1 2 1 2 1     0  0 1 0 0 0 0 0 0     3  0 1 1 1 1 0 0 1
2016 04 20     4  0 1 1 2 2 1 1 1     5  0 1 2 4 1 0 0 0     5  0 2 2 2 1 0 0 1
2016 04 21    23  0 2 1 1 3 2 7 2     2  0 1 0 1 1 1 1 1     5  1 2 1 1 1 2 1 2
2016 04 22    13  2 2 2 2 4 3 3 3    17  2 1 1 4 5 4 2 3    13  3 2 2 2 3 3 3 4
2016 04 23    11  1 2 1 2 2 2 2 5     9  1 1 0 3 4 1 2 3    12  2 2 1 2 2 2 3 5
2016 04 24    11  2 1 2 2 3 4 3 2    19  2 1 2 3 4 6 2 1    11  2 2 2 2 3 4 3 1
2016 04 25     6  1 2 2 2 2 2 1 1     9  1 1 2 5 2 1 1 0     5  1 2 2 2 2 1 1 0
2016 04 26     6  1 1 1 1 2 1 2 3     8  1 2 1 2 4 1 2 2     7  1 1 1 1 2 1 2 3
2016 04 27    11  1 2 3 3 3 3 2 2    17  1 2 4 3 4 5 2 1    10  1 2 3 2 2 3 2 2
2016 04 28     6  2 1 2 2 2 2 1 1     5  1 1 2 3 2 0 1 0     5  2 1 2 2 1 1 1 1
2016 04 29     3  0 1 0 1 2 1 1 1     0  0 0 0 0 0 0 1 0     4  1 1 0 1 1 0 1 1
2016 04 30     9  1 2 2 2 3 2 2 3     8  0 1 1 2 4 3 1 2     7  1 1 2 2 2 2 2 3
2016 05 01    16  3 2 3 2 4 3 4 3    24  2 2 3 4 5 5 4 3    16  3 2 3 2 3 3 4 4
2016 05 02    26  5 5 1 3 4 3 4 4    44  4 5 5 5 5 6 4 4    31  5 6 3 3 3 3 4 5
2016 05 03    11  3 4 3 2 2 1 1 2    20  4 4 5 4 3 1 1 2    11  3 4 3 2 2 1 1 2
2016 05 04     4  2 1 0 2 2 1 1 1     4  2 2 0 2 2 1 0 0     5  2 2 0 2 1 1 1 1
2016 05 05     7  0 2 1 3 3 1 2 1    15  0 1 2 5 5 2 0 1     8  0 2 1 3 3 2 2 2
2016 05 06    12  2 2 2 2 3 2 4 3    21  2 3 2 4 5 4 4 2    15  2 2 2 2 3 3 5 3
2016 05 07     9  3 1 1 2 2 3 2 3    11  2 2 2 3 4 3 1 2    10  4 2 1 2 2 2 1 3
2016 05 08    32  4 4 5 4 4 4 4 5   117  5 7 6 6 6 9 6 4    70  6 7 6 5 5 5 5 6
2016 05 09    21  5 4 3 3 3 3 3 3    41  5 4 5 6 5 5 3 3    33  7 4 3 3 3 3 4 4
2016 05 10    15  3 4 3 3 3 2 3 2    43  3 4 6 6 6 5 2 2    16  3 4 3 3 3 2 3 3
2016 05 11     6  3 2 1 1 1 1 1 2     4  2 2 1 0 0 1 1 2     6  3 2 1 1 1 1 1 2
2016 05 12     4  1 1 1 2 2 0 1 1     5  1 1 1 3 2 0 1 1     4  1 2 1 2 1 0 1 2
2016 05 13     9  1 1 3 2 3 2 3 2    11  1 1 4 3 3 3 2 1     8  1 1 3 2 2 2 3 2
2016 05 14    10  2 2 2 3 2 1 3 3    22  2 3 4 6 3 2 2 3    10  3 2 3 3 2 1 2 3
2016 05 15    12  3 2 3 2 3 3 3 2    25  3 3 3 2 6 5 3 1    13  3 2 2 2 3 3 4 2
2016 05 16    15  3 3 3 3 4 2 3 2    19  3 3 3 5 4 3 2 2    13  2 3 3 3 3 2 2 2
2016 05 17    14  2 3 4 2 3 2 3 3    19  1 3 5 5 3 2 2 2    13  2 3 4 3 3 2 3 3
2016 05 18    12  2 4 2 3 4 1 1 1    17  3 3 4 5 4 1 0 1     8  2 3 2 3 3 1 1 1
2016 05 19     8  1 1 3 2 3 2 2 2    18  2 1 5 5 4 2 2 0     8  1 1 3 2 3 2 2 1
2016 05 20     6  2 2 2 2 2 0 1 2     7  2 3 2 3 2 0 0 1     6  3 2 2 1 1 0 1 2
2016 05 21    16  3 2 5 2 3 3 3 1    27  2 3 5 5 4 5 3 2    15  3 3 5 2 3 3 3 1
2016 05 22     5  1 2 1 3 2 1 0 1    14  2 3 3 5 4 1 0 0     7  2 3 2 3 2 1 1 0
2016 05 23     4  0 1 2 2 2 1 2 0     4  0 2 2 3 1 0 0 1     5  1 1 2 2 1 0 1 1
2016 05 24     6  1 1 1 3 2 2 2 1     6  1 2 1 4 2 0 0 0     6  2 2 1 3 2 1 1 1
2016 05 25     4  1 1 1 2 2 1 1 0     2  0 2 1 1 0 0 0 0     3  1 2 1 1 1 1 0 0
2016 05 26     4  0 0 1 1 2 2 2 1     0  0 0 0 0 0 0 1 0     4  1 1 1 1 1 1 1 1
2016 05 27    12  3 3 2 2 3 2 3 3    13  2 3 1 4 3 3 2 3    10  3 3 1 2 2 2 3 3
2016 05 28    13  3 3 4 2 2 2 3 2    23  3 3 6 4 3 3 2 2    14  3 2 4 2 2 3 3 3
2016 05 29     8  2 2 1 2 2 2 2 3     9  2 3 3 3 1 1 1 2     7  2 2 2 2 1 1 2 3
2016 05 30     9  3 2 3 2 2 2 1 2    19  4 3 5 4 2 3 1 2    11  4 3 3 2 1 2 1 2
2016 05 31    10  2 1 3 3 2 2 2 3    15  2 2 5 3 2 4 1 2    10  2 2 3 2 1 3 3 3
2016 06 01     7  2 1 1 1 2 3 2 2     5  2 1 1 2 2 2 1 1     6  2 1 2 1 2 2 2 2
2016 06 02     5  1 1 1 2 2 2 1 1     3  0 2 1 3 0 0 0 0     4  1 1 1 1 1 1 0 1
2016 06 03     5  1 1 0 1 2 3 2 1     0  1 0 0 0 0 0 0 0     3  1 1 0 1 1 1 1 1
2016 06 04     5  1 1 0 1 2 2 2 2     2  1 1 1 0 0 0 0 1     4  1 1 1 1 1 1 1 2
2016 06 05    23  2 2 3 4 4 4 4 5    31  2 2 2 4 6 6 4 3    29  2 2 2 4 5 5 5 5
2016 06 06    21  4 5 3 4 4 2 2 2    48  3 6 5 7 5 4 3 2    26  4 6 4 4 4 2 3 2
2016 06 07    10  1 1 1 3 3 2 3 3    13  2 2 1 4 4 2 2 3     9  2 1 1 3 2 2 3 3
2016 06 08     6  2 2 1 2 2 2 1 1     9  2 3 2 4 2 1 0 1     6  2 2 1 2 2 2 0 1
2016 06 09     5  2 0 1 1 2 2 2 1     3  2 1 0 1 2 0 0 0     4  2 1 0 1 1 1 1 1
2016 06 10     9  1 1 1 2 2 2 4 3     8  1 2 1 2 3 2 3 2     9  1 1 1 1 2 2 4 3
2016 06 11    11  3 2 2 2 3 3 2 3    11  3 2 2 3 3 3 2 2    11  3 2 2 2 2 2 2 4
2016 06 12     9  2 2 3 2 2 2 3 2    14  2 2 3 4 4 3 2 2    10  2 2 2 2 3 2 3 2
2016 06 13    10  3 4 2 2 2 2 2 1    15  4 4 1 5 2 1 1 0     9  3 4 2 2 2 1 2 1
2016 06 14    15  3 2 2 3 2 2 5 3    17  1 2 2 2 2 2 6 3    21  3 2 1 2 2 2 6 4
2016 06 15    15  5 3 2 3 3 2 1 2    21  4 4 2 5 5 2 1 1    14  5 3 2 3 3 2 1 1
2016 06 16     5  1 1 1 2 2 2 1 2     6  2 1 1 2 3 2 1 1     6  2 1 2 2 2 2 1 2
2016 06 17     7  2 2 2 2 2 2 2 1    27  2 3 3 6 6 3 1 1     8  2 2 2 2 3 2 2 1
2016 06 18    10  1 3 3 2 3 2 2 2    17  2 3 3 5 4 2 2 2     8  2 3 2 2 3 1 2 2
2016 06 19     5  1 2 2 2 2 1 1 1     6  2 2 1 1 3 2 1 0     5  2 2 2 1 2 1 1 1
2016 06 20     4  1 2 1 1 2 0 1 1     2  2 2 0 0 0 0 1 0     4  1 1 1 1 1 0 1 1
2016 06 21     3  1 1 0 1 2 1 1 0     2  1 1 1 0 0 0 1 0     4  1 1 1 1 1 1 1 1
2016 06 22    14  1 1 1 2 2 3 5 4     9  0 1 0 2 3 3 3 3    14  1 1 1 2 2 3 5 4
2016 06 23    10  2 3 1 1 2 3 3 3    10  3 3 1 0 1 3 3 3    12  2 3 1 1 1 3 3 4
2016 06 24    10  2 3 3 2 3 2 2 2    21  4 4 4 5 3 2 2 2    12  3 4 3 2 2 2 2 3
2016 06 25     7  3 2 2 1 2 1 2 2     7  3 2 2 2 2 2 1 1     7  3 2 2 1 1 1 2 2
2016 06 26    11  2 2 2 1 2 3 3 4    16  2 2 2 4 4 4 2 3    11  2 2 2 2 2 3 3 4
2016 06 27    16  3 3 3 1 2 2 5 3     9  3 3 3 0 3 2 1 1    10  3 3 3 1 2 2 2 2
2016 06 28     6  3 2 1 1 2 2 1 1    12  3 3 3 3 4 1 1 1     7  3 2 1 2 2 1 1 1
2016 06 29     4  1 1 1 1 1 2 2 1     3  2 1 1 1 0 1 1 0     4  2 1 1 1 1 1 1 1
2016 06 30     7  1 1 1 1 2 2 3 3     4  0 1 0 3 0 1 1 2    21  1 1 1 1 1 2 3 3
2016 07 01     9  2 3 3 3 2 1 1 1    11  2 3 4 4 2 1 0 0     7  3 2 3 3 1 1 0 1
2016 07 02    11  1 2 2 2 3 2 3 4     8  2 2 1 3 3 2 1 2     9  1 2 1 1 2 2 3 4
2016 07 03     9  2 2 2 2 2 3 2 3    10  3 3 2 3 1 2 2 2     9  3 2 2 2 1 2 2 3
2016 07 04     9  2 2 3 2 3 2 2 1     8  2 2 3 4 2 0 1 0     7  2 2 3 2 1 1 2 2
2016 07 05     6  2 2 2 1 2 2 2 1     2  2 1 1 0 0 0 0 0     4  2 2 1 1 1 1 1 1
2016 07 06     7  1 1 1 1 2 3 1 3     3  0 1 0 2 1 0 1 2     5  1 1 1 1 1 1 1 3
2016 07 07    19  2 3 3 3 3 4 4 4    31  2 3 5 5 5 5 3 3    23  3 3 3 3 3 5 5 4
2016 07 08    18  3 3 3 4 4 3 3 3    35  3 3 5 6 5 5 3 2    23  3 3 4 4 5 4 4 2
2016 07 09    15  3 3 4 3 3 2 3 2    30  3 2 6 3 6 4 2 2    14  3 2 4 3 3 3 3 2
2016 07 10    11  3 3 2 3 3 2 2 2    19  3 3 4 5 4 2 2 2    10  2 2 2 3 3 2 2 2
2016 07 11    11  2 3 1 2 2 2 4 3    19  3 3 1 5 5 2 2 2    11  2 3 1 2 3 2 3 3
2016 07 12    18  3 4 4 4 2 2 3 3    33  3 5 6 5 5 2 2 2    21  3 5 5 4 2 2 3 3
2016 07 13     7  3 2 1 2 2 2 1 2    11  3 2 3 3 3 2 1 2     8  3 3 2 2 2 1 1 2
2016 07 14    16  2 3 5 4 2 2 1 3    21  2 4 5 5 2 3 2 2    12  2 3 4 4 2 2 2 2
2016 07 15    10  2 3 3 2 2 2 2 3    23  3 4 4 6 3 2 2 2    11  2 3 3 3 1 2 2 3
2016 07 16     8  3 1 1 2 3 2 1 2    15  2 2 2 2 6 2 0 1     8  3 2 1 2 3 2 1 2
2016 07 17    10  2 2 1 3 3 2 2 3    10  1 2 0 4 4 2 1 1     6  2 2 1 2 2 1 1 2
2016 07 18     4  1 1 2 1 1 2 1 1     3  1 2 2 2 0 0 0 0     4  1 1 1 1 1 1 0 1
2016 07 19    11  1 1 0 2 3 2 2 5     4  0 1 0 0 1 2 0 3    10  1 1 0 1 1 1 1 5
2016 07 20    19  4 4 3 3 4 3 3 2    23  5 5 5 3 3 2 1 0    23  5 5 4 2 3 2 3 1
2016 07 21     6  1 0 1 2 3 2 1 2     3  1 0 1 1 0 2 1 2     5  1 1 1 1 1 2 1 2
2016 07 22     8  1 2 2 2 3 2 2 2    15  1 2 2 4 4 4 3 1     8  1 2 2 2 2 2 2 2
2016 07 23    10  1 3 3 2 3 2 2 2    12 -1 4 4 3 2 0 1 1     8  2 3 3 2 2 1 1 2
2016 07 24    12  2 1 2 2 3 3 3 4    14  2 1 1 1 1 4 5 3    14  2 1 1 2 2 3 5 4
2016 07 25    15  4 4 3 2 3 3 2 2    55  3 4 7 6 6 6 2 2    18  4 4 3 3 4 4 2 2
2016 07 26     7  2 2 1 1 3 2 2 1     4  1 1 1 0 3 2 0 0     5  1 2 1 1 2 1 1 1
2016 07 27     4  1 1 0 1 2 1 1 2     2  2 1 0 0 1 0 0 0     4  1 1 0 0 1 0 1 2
2016 07 28    13  2 4 3 2 2 2 3 3    27  2 4 3 4 4 5 5 3    15  3 4 3 2 2 3 4 3
2016 07 29    16  4 4 3 3 2 3 3 1    21  3 5 4 5 3 2 2 1    14  3 4 3 3 2 3 3 1
2016 07 30     7  3 2 1 1 3 2 1 1     5  2 2 1 3 1 1 0 1     6  3 2 1 1 1 1 1 1
2016 07 31     2  1 0 0 1 2 1 1 0     3  2 0 0 2 1 1 0 0     3  2 0 1 1 1 1 1 0
2016 08 01     4  1 1 0 1 2 2 1 1    -1 -1-1-1-1-1-1-1-1     3  1 1 1 0 1 1 1 1
2016 08 02    17  0 2 2 3 3 3 4 5    10 -1-1-1-1-1 2 2 3    17  1 2 2 2 3 3 4 5
2016 08 03    24  5 4 4 5 3 3 2 2    49  3 5 4 7 6 5 4 2    33  5 4 5 5 4 4 3 3
2016 08 04    17  4 4 3 3 3 3 3 2    39  3 4 5 5 6 5 4 3    18  4 4 3 3 3 4 3 2
2016 08 05    16  2 3 3 4 3 3 2 4    33  3 4 5 6 5 4 2 3    16  2 3 4 4 3 3 2 4
2016 08 06    13  2 2 3 4 3 2 2 3    24  3 2 3 6 5 3 2 2    14  3 2 3 4 3 2 2 3
2016 08 07    12  4 2 1 2 3 3 2 3    20  3 3 2 1 5 5 2 3    12  4 2 2 2 3 3 1 3
2016 08 08     9  3 2 1 2 3 3 2 1    25  3 3 3 3 5 6 2 1    12  4 2 2 2 3 4 3 1
2016 08 09    15  2 3 2 4 4 3 2 3    31  2 3 2 6 5 6 2 2    14  2 3 2 3 4 3 2 3
