:Product: Daily Geomagnetic Data     2014_DGD.txt
:Issued: 1500 UT 30 Jan 2015
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2014 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2014 07 31     7  1 1 1 2 3 2 2 2     2  1 2 1 0 0 0 0 1     5  1 1 1 2 1 1 1 2
2014 08 01    14  2 2 1 3 4 2 3 4    10  2 2 1 4 2 1 3 2    10  2 2 1 2 2 2 3 4
2014 08 02    12  2 2 2 3 4 3 2 2    23  3 3 3 5 4 5 2 2    11  3 2 2 3 4 3 2 2
2014 08 03     7  1 3 1 2 2 2 2 2     5  2 2 1 2 0 1 1 2     7  1 3 1 2 1 1 2 2
2014 08 04    15  2 3 3 4 3 3 3 2    15  2 4 3 4 3 2 3 2    12  2 3 3 3 2 2 3 3
2014 08 05    12  3 3 3 3 2 2 3 2    21  3 3 3 4 4 5 3 2    10  3 2 3 2 3 2 3 2
2014 08 06     7  1 3 3 1 2 2 1 1    14  2 3 4 4 4 1 1 0     7  2 3 2 2 2 1 1 1
2014 08 07     6  1 2 1 2 2 2 2 2    10  1 1 1 4 4 1 2 1     6  2 2 1 2 2 1 2 2
2014 08 08     9  3 3 3 2 2 2 1 1    12  2 3 3 5 2 0 1 0     8  3 3 2 2 2 1 1 1
2014 08 09     4  0 2 2 1 2 2 1 0     6  1 2 4 2 0 0 0 0     4  1 1 2 1 1 1 0 0
