:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2131 UT 07 Apr 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2019 01 22     2  0 1 0 0 1 1 1 2     1  0 0 0 0 1 0 0 1     3  1 1 0 0 1 1 2 2
2019 01 23    10  2 2 2 2 2 2 2 4    19  2 2 2 5 5 4 1 1    13  3 3 2 3 3 3 2 4
2019 01 24    13  3 3 3 1 2 2 3 4    11  3 2 3 2 2 2 3 3    19  4 3 4 2 1 3 4 5
2019 01 25    10  2 2 3 3 3 2 2 2    19  2 2 4 4 5 4 2 1    13  3 2 3 3 3 3 2 2
2019 01 26     5  1 2 2 1 2 2 1 0    15  1 1 3 4 4 5 0 0     7  1 2 2 1 3 3 1 0
2019 01 27     3  1 1 1 1 1 1 1 1     3  0 0 0 3 2 0 1 0     5  2 1 1 1 1 1 1 1
2019 01 28     0  1 0 0 0 0 0 0 0     1  0 0 0 1 1 0 0 0     1  1 0 0 0 0 0 0 0
2019 01 29     0  1 0 0 0 0 0 0 0     2  0 0 0 2 2 0 0 0     2  1 0 0 0 1 0 0 0
2019 01 30     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 1 0     2  0 0 0 0 0 0 1 1
2019 01 31    12  1 0 1 1 3 2 3 5    23  0 0 2 3 6 5 2 4    14  1 0 1 1 3 3 3 5
2019 02 01    10  2 3 3 2 2 2 2 3    40  3 4 5 5 6 6 3 2    17  3 4 3 2 3 3 3 4
2019 02 02    11  3 3 3 2 2 3 2 2    24  3 3 4 5 5 4 2 2    17  4 4 3 2 2 4 3 3
2019 02 03     8  3 3 3 0 1 1 1 2    12  3 3 3 2 3 3 2 2    11  4 3 3 1 1 2 2 3
2019 02 04     5  1 1 1 0 2 1 3 2     7  0 0 0 1 4 3 2 2     7  1 0 1 0 2 2 3 3
2019 02 05     3  3 0 0 0 1 1 1 0     3  2 1 1 2 1 0 0 0     5  3 1 1 0 0 1 1 1
2019 02 06     7  1 2 2 3 2 1 2 2    19  0 1 2 5 6 1 1 2    10  2 2 2 3 3 1 2 3
2019 02 07     3  1 1 1 0 1 0 2 1     2  0 0 1 0 1 1 1 1     4  2 1 1 0 0 1 2 1
2019 02 08     7  1 2 2 2 1 1 2 3     7  2 0 2 3 1 1 1 3     9  2 2 2 1 1 1 2 4
2019 02 09     6  2 2 2 2 1 2 2 0    11  2 2 2 4 3 2 2 2    10  3 2 2 2 2 3 3 1
2019 02 10     4  2 2 0 1 1 1 1 1     2  1 2 1 1 1 0 0 0     6  2 3 1 1 1 1 1 1
2019 02 11     7  0 1 2 1 3 3 2 2    14  0 0 2 1 5 5 1 1     9  1 1 2 1 3 3 2 3
2019 02 12     5  1 2 1 1 1 2 1 2     4  1 1 1 0 3 1 0 1     6  2 3 1 1 1 1 0 3
2019 02 13    11  1 3 3 3 3 3 1 2    28  1 1 4 6 6 4 2 0    13  2 3 3 4 3 3 2 2
2019 02 14     8  2 3 2 3 1 1 2 1    14  1 2 3 6 1 0 1 1    10  3 3 3 3 1 0 2 1
2019 02 15     4  3 1 1 0 1 1 1 0     0  0 0 1 0 0 0 0 0     4  3 1 1 0 1 0 1 0
2019 02 16     3  0 0 1 0 2 2 1 0     1  0 0 1 0 1 1 0 0     3  0 0 1 0 1 2 1 0
2019 02 17     3  1 0 1 0 1 0 2 2     2  0 0 1 1 0 0 1 1     4  1 0 1 1 0 0 2 2
2019 02 18     5  3 3 0 1 1 1 1 0     9  2 4 1 3 3 2 0 0     7  3 3 1 1 1 1 1 1
2019 02 19     2  0 1 2 0 1 0 0 0     1  0 0 1 1 1 0 0 0     3  1 1 1 0 1 0 1 1
2019 02 20     2  1 0 0 0 1 1 1 2     1  0 0 0 0 0 1 1 1     3  1 0 0 0 1 1 2 2
2019 02 21     9  2 1 4 2 2 1 1 3    15  1 1 4 4 5 2 1 1    11  3 1 4 2 3 2 1 3
2019 02 22     3  1 1 1 1 0 1 1 1     2  1 1 1 2 1 0 0 0     4  2 0 1 1 0 0 1 1
2019 02 23     2  0 0 0 0 1 2 1 0     0  0 0 0 0 0 0 1 0     3  1 0 0 0 0 1 1 0
2019 02 24     1  0 0 1 0 1 1 0 0     1  0 0 0 0 2 0 0 0     2  0 0 1 0 1 0 0 0
2019 02 25     2  0 0 1 1 1 1 0 1     0  0 0 0 1 0 0 0 0     2  1 0 1 1 0 0 0 1
2019 02 26     2  1 0 0 1 1 0 1 0     1  0 0 0 2 0 0 0 0     2  1 0 0 2 0 0 0 1
2019 02 27     9  0 0 1 1 3 3 2 4    13  0 0 0 2 5 4 2 3    10  1 0 1 1 3 3 3 4
2019 02 28    17  4 3 2 3 4 3 3 3    34  3 2 3 6 6 5 3 3    26  5 3 2 4 5 4 4 3
2019 03 01    18  4 4 3 3 3 3 3 3    36  3 4 5 6 5 5 3 2    24  4 5 3 3 3 4 4 4
2019 03 02     9  3 3 3 2 1 2 1 1    24  3 4 4 5 5 3 2 1    12  4 3 3 2 2 3 2 2
2019 03 03     6  2 3 1 1 2 1 1 2     6  2 3 1 1 3 1 0 0     6  2 3 1 1 2 1 1 2
2019 03 04     7  2 3 2 2 2 1 1 1    21  1 3 3 6 5 2 0 1     7  2 3 2 2 2 1 1 2
2019 03 05     4  2 1 1 1 1 1 1 2     3  1 1 0 0 2 2 0 1     5  2 2 1 1 1 1 1 2
2019 03 06     7  1 1 3 1 2 2 2 2     7  1 1 3 0 4 1 1 0     8  1 1 3 2 2 1 2 2
2019 03 07     5  1 0 1 0 3 1 2 2    11  0 0 0 0 5 4 2 2     8  1 1 1 1 3 2 3 3
2019 03 08     3  2 0 1 1 0 1 1 1     8  1 0 2 5 1 0 0 1     5  3 1 2 2 0 0 1 2
2019 03 09     4  1 0 1 1 2 2 1 2     7  0 0 1 3 4 2 1 1     5  1 0 1 2 2 1 1 2
2019 03 10     3  2 2 1 0 1 1 1 0     2  0 2 1 1 0 0 0 0     4  2 2 1 0 1 0 1 0
2019 03 11     3  0 0 1 1 2 1 1 1     4  0 0 0 4 2 0 0 0     3  0 0 1 2 1 0 1 0
2019 03 12     5  1 1 3 2 2 1 0 1     9  1 0 4 4 3 1 0 0     7  2 1 3 2 2 1 1 1
2019 03 13     4  1 2 1 0 1 2 2 0     3  1 1 2 2 0 0 1 0     4  1 2 2 1 0 0 2 1
2019 03 14     6  0 1 2 1 3 1 2 2     9  0 0 3 3 4 3 0 1     7  0 1 2 1 3 1 2 3
2019 03 15     5  2 2 2 0 0 2 2 1    11  2 4 4 1 0 1 3 1     7  3 3 2 1 0 1 2 1
2019 03 16     7  1 1 1 3 2 1 1 3    20  1 1 2 6 4 4 2 2    12  1 2 1 3 3 2 2 4
2019 03 17    14  4 4 4 3 2 1 1 1    40  5 4 7 5 4 4 1 0    16  5 4 4 3 2 2 1 1
2019 03 18     2  0 1 1 0 1 1 1 1     1  1 0 0 0 1 1 0 0     3  1 1 1 1 1 1 1 1
2019 03 19     5  1 1 1 1 2 2 2 2     8  1 0 2 3 4 2 1 1     7  1 1 1 2 2 1 3 3
2019 03 20     5  1 2 2 1 2 1 1 1     5  1 1 1 3 3 1 0 0     5  1 2 2 1 2 1 1 1
2019 03 21     2  0 1 0 1 1 1 1 0     0  0 0 0 1 0 0 0 0     2  0 1 1 1 1 0 0 0
2019 03 22     2  0 0 1 0 1 1 0 1     0  0 0 1 0 0 0 0 0     1  0 0 1 0 0 0 0 0
2019 03 23     2  0 1 0 1 1 1 1 1     1  0 0 0 2 0 0 0 0     1  0 0 0 1 0 0 0 0
2019 03 24     3  0 0 0 1 1 2 1 2     0  0 0 0 0 0 0 0 1     3  0 0 1 1 0 1 0 2
2019 03 25     5  2 2 0 1 1 2 1 2     1  1 0 0 0 0 1 0 1     5  2 2 1 1 1 2 1 2
2019 03 26     5  2 2 0 1 2 1 1 2     2  2 1 0 0 1 0 0 1     6  3 3 1 1 1 0 0 2
2019 03 27     8  2 2 3 3 2 1 2 1    14  0 1 4 5 4 1 0 0     8  2 2 3 3 2 1 2 1
2019 03 28    10  1 3 3 2 3 2 2 2    14  1 3 3 2 5 3 1 1    11  1 3 3 2 3 2 2 3
2019 03 29     6  1 2 2 2 2 2 1 1    11  1 2 3 5 2 1 1 1     7  2 2 2 2 1 2 2 1
2019 03 30     3  2 1 1 0 2 1 0 0     2  1 1 1 1 1 0 0 0     4  2 1 0 1 1 0 0 0
2019 03 31     9  3 3 3 1 2 2 2 1    15  2 3 4 2 4 4 1 1     5  3 4 3 2 2 2 3 1
2019 04 01     6  2 1 2 3 2 1 1 0    22  1 1 5 6 4 3 1 0     8  2 2 2 4 2 2 1 0
2019 04 02     5  1 0 0 1 1 1 3 3     2  1 0 0 0 2 1 1 1     6  1 1 1 1 1 1 3 3
2019 04 03    12  2 4 3 2 2 2 2 3    24  2 3 4 5 6 2 1 2    12  3 4 3 2 3 2 2 3
2019 04 04     8  2 2 2 2 2 3 2 1    15  2 2 2 5 3 4 2 1    10  3 2 2 3 2 3 2 1
2019 04 05    10  3 3 2 2 2 3 2 2    20  2 3 3 5 5 3 2 2    14  3 3 3 2 3 3 2 3
2019 04 06     7  2 3 2 2 2 1 1 1     5  2 2 2 3 1 1 0 0     7  2 3 2 2 1 1 2 1
2019 04 07     5  0 2 2 1 2 2 1 2     4  1 1 1 2 3 1 0 0     5  1 2 1 1 2 1 1 2
2019 04 08    12  2 4 3 2 3 2 2 2    24  2 4 4 4 6 3 2 1    13  3 4 3 2 3 3 2 2
2019 04 09    11  4 2 3 3 2 1 1 2    14  2 2 4 4 3 3 2 2    11  4 2 3 3 2 2 2 2
2019 04 10    10  3 3 3 1 3 2 2 1    19  4 4 4 2 4 4 2 1    14  4 4 3 1 2 3 3 2
2019 04 11     6  1 2 3 2 2 2 1 0    11  2 2 2 4 3 3 1 1     7  2 3 2 2 2 2 1 1
2019 04 12     7  3 2 1 1 2 2 2 2    14  2 2 3 3 5 2 2 2     9  3 2 2 1 2 1 2 3
2019 04 13     7  3 3 1 1 2 1 1 1     4  1 3 2 0 1 0 1 1     8  3 3 2 1 1 1 2 1
2019 04 14     3  0 2 2 0 1 1 0 1     3  1 1 3 1 0 0 0 0     4  0 2 2 1 0 1 0 1
2019 04 15     8  1 1 3 2 2 1 3 2     8  1 1 3 4 2 0 2 1     8  2 2 3 2 2 1 2 2
2019 04 16     6  2 1 3 2 2 0 1 1    12  2 1 5 2 4 0 0 0     6  2 2 3 2 2 1 1 1
2019 04 17     3  1 1 0 1 1 1 1 1     1  1 0 0 0 0 0 1 1     3  1 0 1 0 0 1 2 1
2019 04 18     2  0 0 0 1 2 0 1 1     0  0 0 0 0 0 0 0 0     2  0 0 0 0 1 0 1 0
2019 04 19     4  0 1 2 1 1 1 2 1     3  0 0 0 2 2 1 1 0     4  0 0 1 2 1 1 2 1
2019 04 20     4  1 1 1 1 2 1 1 1     1  0 1 0 1 0 0 1 0     4  1 1 1 1 1 1 1 1
2019 04 21     4  1 1 1 1 2 1 1 1     2  1 0 1 2 0 0 0 0     4  2 1 1 1 1 0 0 1
2019 04 22     4  0 1 2 2 2 1 1 1     2  0 0 2 0 0 1 1 0     4  1 1 1 1 1 1 1 1
2019 04 23     8  1 2 1 1 2 2 3 3     4  0 0 0 2 2 2 2 2     8  1 1 0 1 1 2 3 3
2019 04 24     6  3 1 0 2 2 2 1 2    10  2 1 0 4 4 3 1 0     7  3 1 0 2 2 2 1 2
2019 04 25     4  1 2 2 1 1 0 1 1     9  1 2 2 4 4 1 0 0     5  1 2 2 2 2 0 1 0
2019 04 26     2  0 0 0 1 2 1 1 1     3  0 0 0 2 2 2 1 1     4  1 0 1 1 1 1 1 2
2019 04 27     5  1 0 2 2 2 1 2 2     8  1 0 3 4 3 0 0 1     6  1 0 2 2 2 1 2 2
2019 04 28     4  1 1 1 1 1 1 2 1     6  1 1 3 2 1 2 1 1     5  1 1 2 1 1 1 2 2
2019 04 29     6  2 2 0 1 3 2 1 1     3  1 1 0 1 2 2 0 0     5  2 2 0 1 1 2 1 1
2019 04 30     4  1 1 0 1 3 1 1 1     5  1 1 0 1 3 2 1 1     5  2 1 0 1 2 1 2 1
2019 05 01     8  0 2 2 1 3 1 3 3    10  1 2 2 3 3 2 2 3    11  1 2 2 2 2 2 3 4
2019 05 02    13  4 3 3 2 3 2 3 1    19  3 4 4 4 4 2 3 1    12  4 4 3 2 2 2 2 2
2019 05 03     8  2 2 2 1 3 1 2 3     9  2 2 3 3 2 1 2 2     7  2 2 2 1 2 1 2 3
2019 05 04     9  1 2 3 3 3 2 2 1    22  1 3 4 5 5 4 1 1    10  1 2 3 3 3 2 2 2
2019 05 05     4  2 1 0 1 2 1 1 1     2  1 1 0 0 1 1 0 0     4  2 1 0 0 1 1 0 1
2019 05 06     5  1 0 0 2 3 2 2 1     5  1 1 0 3 2 2 1 1     5  1 1 0 2 2 1 2 2
2019 05 07     5  1 2 1 1 2 2 2 1     4  2 2 1 0 2 1 1 1     5  2 2 1 1 1 1 2 1
2019 05 08     2  0 1 0 0 2 1 1 1     1  1 1 0 0 0 0 0 1     3  0 1 0 0 1 0 0 1
2019 05 09     8  1 2 3 2 2 2 2 2     7  2 2 3 3 1 0 1 1     7  1 2 3 2 1 1 2 2
2019 05 10     7  1 2 1 1 1 2 3 3     5  2 1 2 2 0 2 2 1     7  2 2 1 1 1 2 3 3
2019 05 11    19  4 4 4 4 3 2 2 3    63  5 4 6 7 7 5 3 2    25  5 4 4 4 4 2 3 4
2019 05 12     5  2 1 2 1 1 1 1 2     4  2 1 2 2 0 0 1 1     4  2 1 1 0 0 0 1 2
2019 05 13     5  0 0 1 2 2 2 1 3     9  1 1 1 3 2 4 2 2     6  1 1 1 2 1 2 1 2
2019 05 14    23  3 5 5 4 3 3 3 1    45  3 7 6 5 4 4 3 2    36  3 6 7 4 2 3 4 2
2019 05 15     8  1 2 2 1 3 2 3 1     4  0 2 1 0 1 2 2 1     6  1 2 2 1 2 2 2 1
2019 05 16     9  2 2 2 1 3 2 2 3     5  1 2 1 2 1 1 2 2     8  2 2 2 1 2 1 3 3
2019 05 17     7  3 2 2 1 3 1 1 1     5  3 2 1 1 2 1 0 0     5  3 2 1 1 2 1 0 1
2019 05 18     8  1 1 2 4 2 2 2 1    10  1 1 4 5 0 0 0 0     5  1 1 2 2 1 0 1 0
2019 05 19     3  0 0 1 1 2 1 1 2     1  0 0 1 0 0 0 0 1     3  0 0 1 1 1 1 0 2
2019 05 20     7  3 2 2 1 2 1 2 2     3  2 2 2 1 0 1 0 0     6  3 2 1 1 1 1 1 1
2019 05 21     4  1 2 1 1 2 1 1 1     2  1 0 0 0 2 0 0 1     4  1 2 1 1 2 0 0 1
2019 05 22     5  0 1 2 2 2 2 1 1     2  0 1 1 2 1 0 0 1     4  0 1 2 1 1 1 1 1
2019 05 23     5  1 1 1 2 2 2 1 2     4  2 1 0 3 1 1 0 1     5  1 1 1 2 1 1 1 2
2019 05 24     6  1 2 1 2 2 2 2 2     3  1 2 1 0 1 1 1 1     5  1 2 1 1 1 1 2 2
2019 05 25     3  1 0 1 1 1 1 2 1     1  0 0 0 0 1 0 1 1     4  1 1 0 1 1 1 2 2
2019 05 26     6  1 1 1 1 2 2 2 3     1  1 0 0 0 0 0 0 1     5  1 1 1 0 1 1 1 3
2019 05 27    12  2 3 4 2 3 3 2 1    14  3 3 4 4 3 2 1 0    10  3 3 3 2 1 3 2 1
2019 05 28     9  1 0 2 2 3 2 3 3     4  1 1 1 1 1 1 2 2     8  1 1 2 2 2 2 3 3
2019 05 29    16  3 4 4 3 2 2 3 3    28  4 4 6 5 4 2 1 2    14  3 4 3 3 2 2 3 3
2019 05 30     8  3 2 2 2 2 2 2 2    13  3 3 2 5 2 2 1 1     8  3 2 2 2 2 1 2 2
2019 05 31     5  2 2 2 1 2 1 1 1     5  2 2 3 2 2 0 0 0     5  2 2 2 1 1 1 0 1
2019 06 01     4  1 0 1 1 2 2 1 2     1  1 1 1 0 0 0 0 0     3  1 0 1 0 1 1 1 1
2019 06 02     4  2 0 0 1 2 2 2 1     1  1 1 0 0 0 0 0 0     4  2 1 0 0 1 1 1 1
2019 06 03     5  1 0 1 2 2 2 2 2     3  1 0 0 2 2 1 0 1     4  1 1 0 2 1 1 1 1
2019 06 04     8  2 1 2 2 2 2 3 2    11  2 2 4 3 2 3 2 1     7  2 2 2 2 2 2 2 2
2019 06 05     5  2 1 1 1 2 1 2 1     2  2 1 1 1 0 0 0 0     4  2 1 1 0 1 1 1 1
2019 06 06     4  0 1 1 1 2 1 2 1     1  1 0 1 0 0 0 0 0     3  1 1 1 1 1 0 1 0
2019 06 07     6  1 0 1 1 3 2 2 2     2  0 0 2 1 0 1 0 0     4  1 1 1 1 2 1 1 1
2019 06 08    14  1 1 0 2 3 4 4 4    10  1 1 0 1 2 4 4 2    18  1 1 0 2 3 4 5 4
2019 06 09     8  4 2 1 2 2 1 1 1     5  2 3 2 1 2 0 1 0     6  3 2 2 1 1 1 1 1
2019 06 10     4  0 0 0 1 3 2 2 1     1  1 1 0 0 0 0 0 1     3  1 1 0 1 1 1 1 1
2019 06 11     3  1 1 0 1 2 1 1 1     1  2 1 0 0 0 0 0 0     3  1 1 1 1 1 0 1 1
2019 06 12     5  1 1 2 2 2 2 1 1    -1  1 1 1 0 2 0 0-1     4  1 2 1 1 1 1 1 0
2019 06 13    12  1 2 2 2 4 2 2 4    13  1 1 2 3 5 3 2 2    10  1 2 2 2 3 2 2 4
2019 06 14    13  4 2 3 2 4 2 2 1    15  3 2 5 3 4 1 1 1     8  3 2 3 2 2 1 1 1
2019 06 15     6  1 1 2 2 2 2 1 2     4  1 2 2 3 1 0 0 0     4  1 2 2 2 1 1 0 1
2019 06 16     6  1 2 1 1 2 3 1 1     2  1 2 1 0 0 0 1 0     4  1 2 1 1 1 1 0 1
2019 06 17     5  1 1 1 2 2 2 1 1     2  0 0 0 3 1 0 0 0     3  0 1 1 1 1 1 0 1
2019 06 18     3  0 0 0 1 2 2 2 1     1  0 0 0 0 0 1 1 1     4  1 1 0 1 1 1 1 1
2019 06 19     4  1 1 1 1 2 2 1 1     2  1 0 1 1 0 1 0 1     4  1 1 1 1 1 1 1 1
2019 06 20     8  1 2 3 2 3 1 2 2    12  0 2 4 5 1 1 2 1     7  1 2 3 2 1 1 2 2
2019 06 21     8  1 2 2 2 2 2 2 3     6  1 2 2 3 3 0 0 1     6  1 2 2 2 2 1 2 2
2019 06 22     5  1 2 2 1 1 2 1 1     2  1 1 2 1 0 0 0 0     4  1 2 2 1 0 1 1 0
2019 06 23     4  0 0 1 1 2 2 2 1     2  0 0 0 2 2 0 1 0     3  0 1 1 1 1 1 1 1
2019 06 24     5  2 2 0 1 2 1 2 1     4  2 2 0 1 2 0 1 1     5  2 2 1 1 2 1 2 1
2019 06 25     5  1 0 1 2 2 1 2 2     2  1 1 1 1 1 0 0 0     4  1 0 1 1 1 0 1 1
2019 06 26     5  2 2 2 2 1 2 1 0     6  1 1 3 4 1 0 0 0     6  2 2 2 2 1 1 0 1
2019 06 27     4  1 1 0 1 1 2 2 1     1  1 1 0 0 1 0 0 0     4  1 1 0 1 1 1 1 1
2019 06 28     5  2 2 1 1 2 1 1 1     1  2 1 0 0 0 0 0 0     4  2 2 1 1 1 1 1 1
2019 06 29     3  0 0 1 1 1 2 1 1     2  0 1 1 0 0 0 1 1     3  1 1 1 0 1 1 1 1
2019 06 30     3  2 0 0 1 2 0 0 1     1  1 0 0 0 1 0 0 1     4  3 1 0 1 1 1 0 1
2019 07 01    10  3 4 2 2 2 1 2 2    13  2 4 4 3 3 1 1 1     9  3 3 3 2 2 1 1 2
2019 07 02     5  1 1 1 1 2 2 2 2     8  2 1 1 4 3 2 1 0     5  2 1 1 1 1 2 2 1
2019 07 03     6  1 0 2 3 2 2 2 1     2  0 0 1 2 1 1 1 0     5  0 1 2 2 1 2 1 1
2019 07 04     8  1 1 1 1 3 2 3 3     6  0 0 0 0 3 4 1 1     5  0 1 1 1 2 2 2 2
2019 07 05     6  2 1 1 2 3 1 2 1     3  2 1 1 2 1 1 0 0     5  2 1 1 2 2 1 0 1
2019 07 06     5  1 2 1 1 2 2 1 2     2  1 1 1 1 0 0 0 1     3  1 2 1 1 1 1 0 1
2019 07 07     5  1 1 2 2 2 1 1 2     4  0 1 1 3 1 0 1 1     5  1 1 2 1 1 1 1 2
2019 07 08     7  2 2 0 2 2 0 3 3     4  1 2 1 1 0 0 2 2     9  3 2 1 1 1 0 4 3
2019 07 09    16  3 3 3 3 2 3 4 3    19  2 3 4 4 5 2 3 1    17  3 2 2 2 2 3 5 4
2019 07 10    13  2 3 5 3 2 1 1 2    41  2 4 7 6 5 3 2 2    15  2 4 5 3 2 2 1 2
2019 07 11     9  3 3 3 1 2 1 1 2    18  2 3 6 4 2 1 1 1     8  3 2 3 2 1 1 1 1
2019 07 12     5  1 2 2 2 2 0 1 1    22  0 2 3 5 3 1 2 6     5  1 2 2 2 1 1 1 1
2019 07 13     6  0 1 1 2 3 2 2 2     7  1 1 2 3 2 3 1 1     6  0 1 1 2 2 2 2 2
2019 07 14     6  2 1 1 1 2 1 2 3     5  2 1 1 1 1 1 2 2     5  2 1 1 1 1 1 1 2
2019 07 15     8  3 2 1 3 3 2 1 0    11  1 1 0 5 3 3 1 0     7  3 2 1 3 2 1 2 0
2019 07 16     5  1 1 2 1 2 1 2 1     6  1 1 2 2 3 1 2 0     4  0 1 1 1 1 1 1 1
2019 07 17     8  1 3 2 2 3 1 1 2     9  2 3 3 2 3 1 1 2     6  1 2 2 2 2 1 1 2
2019 07 18     4  1 1 1 1 2 1 1 1     1  0 0 0 1 1 0 0 0     3  0 1 1 1 1 1 0 1
2019 07 19     3  1 0 0 2 2 1 1 1     1  1 0 0 1 1 0 0 0     4  1 1 0 2 1 1 1 1
2019 07 20     5  1 1 1 1 2 2 2 1     0  0 0 1 0 0 0 0 0     3  0 0 1 1 1 1 1 1
2019 07 21     9  0 1 1 3 1 2 4 3     6  0 1 2 3 1 1 2 2     8  1 1 1 2 1 2 3 3
2019 07 22    11  1 2 4 3 3 2 2 1    10  2 2 3 4 2 2 2 0     8  2 2 3 3 2 2 2 1
2019 07 23     7  1 3 1 2 3 1 2 1     3  1 2 1 2 1 0 0 1     6  1 2 2 2 2 1 1 2
2019 07 24     5  1 1 0 1 3 1 1 2     3  1 1 0 1 2 1 1 1     5  2 1 0 1 2 1 1 2
2019 07 25     3  0 0 0 1 3 1 1 1     1  1 1 0 0 0 0 0 0     3  1 0 0 1 1 1 0 1
2019 07 26     4  0 0 1 1 3 2 1 1     0  0 0 0 0 0 0 0 0     3  0 0 1 1 1 1 1 1
2019 07 27     4  1 0 0 2 2 1 2 1     2  1 0 0 1 0 0 2 0     4  1 1 0 2 1 1 2 1
2019 07 28     7  1 3 2 1 3 1 1 1     3  1 2 1 2 1 0 0 0     4  1 2 1 1 1 1 1 0
2019 07 29     5  2 2 2 1 2 1 1 1     4  1 3 2 0 0 1 0 0     5  2 2 2 1 1 1 0 1
2019 07 30     8  1 0 1 1 3 3 2 3     5  0 0 0 0 3 3 1 2     8  1 0 1 0 3 3 2 3
2019 07 31    10  3 2 3 2 3 2 2 2     8  3 2 3 2 2 0 1 2     8  3 2 3 2 2 1 1 2
2019 08 01     8  3 2 2 1 3 1 2 2     4  3 2 1 1 0 0 1 1     8  3 2 2 1 1 1 2 3
2019 08 02     4  1 1 1 1 2 1 1 2     3  1 1 2 1 0 0 1 1     4  1 2 1 1 1 1 1 1
2019 08 03     4  1 0 0 2 2 2 1 1     0  1 0 0 0 0-1 0 0     3  1 1 0 1 0 1 1 0
2019 08 04     6  1 1 3 1 2 1 1 2     2  1 0 1 1 1 0 0 1     4  1 1 2 1 1 1 0 2
2019 08 05    20  2 3 4 4 4 4 3 3    61  0 5 5 7 7 6 3 3    35  1 3 5 5 5 5 4 4
2019 08 06    10  3 3 2 3 2 2 1 2    24  4 3 2 6 5 2 1 2    12  3 3 2 3 2 2 1 3
2019 08 07     6  2 3 1 1 2 1 1 2     7  3 2 1 2 2 2 1 1     6  2 2 1 1 1 1 1 2
2019 08 08     6  2 2 2 1 3 1 1 1    12  2 2 2 1 5 3 1 2     7  2 2 2 1 3 2 1 1
2019 08 09     7  0 1 2 2 2 2 2 3    11  0 1 2 5 3 2 1 2     6  1 1 2 2 2 2 2 3
2019 08 10     8  2 2 2 3 2 2 2 1     9  3 2 3 3 2 1 1 1     8  3 2 2 2 1 1 2 2
