:Product: Daily Geomagnetic Data     2015_DGD.txt
:Issued: 1800 UT 02 Jan 2016
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                       2015 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2015 03 10     4  1 1 2 2 1 2 1 0     6  1 1 1 4 1 1 1 0     5  2 2 2 2 1 1 1 1
2015 03 11     8  0 3 2 2 2 3 2 1    14  1 2 3 3 4 4 3 1     9  1 3 2 2 2 3 2 1
2015 03 12     6  1 3 2 2 2 2 1 0    13  1 2 3 5 3 2 2 0     8  2 3 2 3 2 2 1 0
2015 03 13     5  1 0 0 1 3 3 1 1    -1  1-1-1-1-1-1-1-1     6  1 1 1 1 3 2 1 1
2015 03 14     5  0 2 1 2 2 2 1 2    -1  1-1-1-1-1-1-1-1     5  1 2 2 2 2 1 1 2
2015 03 15     7  1 2 3 1 2 2 2 2    -1 -1-1-1-1-1-1-1-1     7  2 2 3 2 1 2 2 1
2015 03 16     9  2 3 3 2 2 2 2 2     0 -1-1-1-1-1-1 0 0    11  2 3 3 3 2 3 1 1
2015 03 17    46  2 4 5 4 6 5 5 6   106  2 3 6 6 8 8 7 5   117  2 5 6 6 8 8 7 8
2015 03 18    32  5 4 3 4 5 5 3 4    60  4 4 6 6 6 7 4 3    52  6 5 4 5 5 6 5 5
2015 03 19    19  4 4 3 4 4 2 2 3    47  3 4 5 6 7 4 4 3    28  4 4 4 5 5 3 3 4
2015 03 20    18  4 2 4 3 3 3 2 4    32  4 3 5 6 4 3 4 3    24  5 3 5 3 3 3 3 5
2015 03 21    12  4 2 3 3 2 2 2 2    18  3 2 5 4 4 2 2 1    14  4 3 4 3 2 2 2 2
2015 03 22    16  2 3 5 4 3 2 1 1    39  2 3 7 5 6 3 1 1    24  2 3 6 4 4 1 1 1
2015 03 23    16  4 4 2 3 3 3 2 3    31  3 4 3 5 5 6 2 2    21  4 5 3 3 4 3 2 3
2015 03 24     9  2 1 2 2 3 3 2 2    15  2 1 0 4 4 5 2 1    12  2 2 2 2 3 4 2 2
2015 03 25    10  2 2 2 3 3 2 3 2    20  2 2 3 6 3 3 3 1    13  2 2 3 4 3 2 3 2
2015 03 26     7  1 1 2 1 2 2 2 3     5  2 1 2 0 2 2 1 2     8  2 1 2 1 2 2 2 3
2015 03 27     7  2 2 1 2 3 2 1 2    14  2 3 2 3 4 4 2 1     9  3 3 2 2 3 1 1 2
2015 03 28     9  0 1 3 2 2 3 2 3     6  0 2 3 3 1 1 1 1     9  0 2 3 3 2 2 2 3
2015 03 29    11  3 3 3 2 3 1 2 2    14  4 3 3 3 4 2 1 1    14  4 3 3 3 3 1 2 2
2015 03 30     5  2 2 0 1 3 1 1 1     3  2 2 1 2 0 0 0 0     5  2 2 1 1 1 1 1 2
2015 03 31     7  1 1 2 2 3 2 2 2     7  0 1 2 3 3 2 2 1     9  1 1 2 2 3 2 3 2
2015 04 01     8  1 1 2 2 3 3 2 2     5  1 1 1 2 2 1 1 2     7  2 1 2 2 2 3 2 2
2015 04 02    22  1 2 2 2 4 3 6 4    16  0 1 3 4 5 3 2 3    13  1 2 2 2 3 2 3 4
2015 04 03    14  3 3 3 3 3 3 2 3    16  3 2 3 4 4 3 3 2    14  3 3 3 3 3 3 2 3
2015 04 04    10  3 2 1 2 3 3 2 2    17  3 3 1 3 5 4 2 2    12  3 3 2 2 3 3 2 2
2015 04 05     8  2 2 1 1 2 3 2 3     5  2 2 1 1 1 1 1 2     8  2 3 2 1 1 2 2 3
2015 04 06     8  3 2 1 2 2 3 2 1     3  2 1 0 1 2 0 1 1     7  3 3 2 1 2 1 1 1
2015 04 07     6  2 2 1 1 2 2 2 1     2  1 1 0 0 1 0 1 0     5  2 2 1 1 1 1 2 1
2015 04 08     4  1 1 0 1 2 2 1 1     1  0 0 0 0 0 0 1 1     4  1 1 0 1 1 1 1 1
2015 04 09    11  2 3 2 2 3 3 2 3    18  3 3 4 4 5 1 1 2    12  2 3 2 3 3 3 2 3
2015 04 10    21  4 4 4 4 4 3 2 2    33  4 4 7 4 3 3 2 2    34  5 6 5 4 4 3 3 2
2015 04 11    14  3 3 3 4 2 2 3 2    32  3 4 5 6 4 5 2 2    20  4 4 4 4 3 3 3 2
2015 04 12     3  1 1 1 1 2 1 1 0     2  1 1 0 0 2 1 1 0     4  1 1 1 1 1 1 1 1
2015 04 13    12  3 3 2 2 3 3 3 1     9  2 2 2 4 2 2 1 1     8  3 3 2 2 2 2 1 1
2015 04 14     9  0 1 1 2 3 3 3 3    17  1 0 2 2 5 5 3 2    13  1 1 2 2 3 4 4 4
2015 04 15    20  2 3 3 4 5 3 3 3    31  1 2 2 5 6 4 5 4    29  2 3 3 5 5 4 5 4
2015 04 16    28  5 4 4 4 3 3 3 5    57  4 6 6 6 6 5 5 3    43  5 5 5 4 3 4 5 6
2015 04 17    20  5 5 3 2 3 2 3 2    28  4 5 5 5 4 3 2 1    25  5 5 4 3 3 2 3 2
2015 04 18    10  3 2 2 3 3 2 2 2    17  2 2 4 5 3 3 2 2    13  3 2 3 3 2 3 3 3
2015 04 19     9  3 3 2 2 2 2 2 2     8  2 2 2 3 2 2 1 2     9  3 3 2 2 2 2 2 2
2015 04 20     9  3 3 1 2 2 2 0 3     7  2 3 1 3 2 1 0 2    10  3 3 1 2 2 1 2 3
2015 04 21    18  4 3 2 3 4 4 2 3    29  3 4 5 5 5 4 3 2    22  4 4 3 4 4 4 3 3
2015 04 22     9  2 2 3 2 2 2 1 3    19  2 3 4 5 4 3 2 1    11  3 2 3 3 2 2 2 3
2015 04 23     6  1 3 1 2 2 1 1 1     5  2 3 2 2 0 0 0 1     7  2 4 2 2 1 1 0 1
2015 04 24     5  2 3 1 1 2 1 1 0     3  2 2 0 2 0 0 0 0     5  2 3 1 1 1 0 0 0
2015 04 25     2  0 0 0 1 2 1 1 1     0  0 0 0 0 0 0 0 0     3  0 1 1 1 1 0 1 1
2015 04 26     3  1 0 0 1 1 2 1 2     0  0 0 0 0 0 0 0 1     4  1 1 1 1 1 1 0 1
2015 04 27     5  1 0 1 2 2 1 2 2     8  0 0 0 4 4 1 1 1     5  1 1 1 2 2 1 2 2
2015 04 28     7  2 2 2 2 2 1 2 2    10  2 1 2 4 4 1 1 0     6  2 1 2 2 2 1 1 1
2015 04 29     4  0 0 1 1 2 2 2 1     5  1 0 0 3 3 1 1 0     4  1 0 1 1 2 1 1 1
2015 04 30     4  2 1 2 1 1 1 1 1     3  1 1 1 1 1 0 2 0     5  2 1 1 1 1 0 2 1
2015 05 01     6  2 2 1 1 2 2 2 2     5  1 2 0 2 1 1 2 2     6  1 2 1 1 2 2 2 2
2015 05 02     9  1 2 2 2 2 2 3 3     4  1 2 0 1 1 1 2 2     9  2 2 2 2 2 1 3 3
2015 05 03     7  2 3 2 2 2 2 1 1     7  2 2 2 3 2 1 1 1     8  3 3 2 2 1 1 1 1
2015 05 04     7  2 1 3 2 2 2 1 1    -1  2 1 3 2 0-1-1-1     6  2 1 2 2 2 2 1 1
2015 05 05    11 -1-1-1-1-1-1 2 3     3 -1-1-1-1-1-1 1 1     5  1 1 2 2 2 1 1 2
2015 05 06    21  4 3 4 3 5 3 3 2    41  4 3 3 4 7 6 3 2    23  4 3 3 4 5 4 3 2
2015 05 07     6  2 2 1 1 2 2 2 2     4  1 2 1 0 1 2 2 1     6  2 2 1 1 1 2 1 2
2015 05 08     7  2 3 2 2 2 1 2 1    10  2 2 2 5 2 0 1 0     6  3 2 2 2 1 1 1 1
2015 05 09     8  1 1 1 2 2 2 3 3     3  0 0 0 1 1 2 2 2     7  1 1 0 2 1 2 3 3
2015 05 10    12  1 2 3 3 4 1 2 3    15  2 1 4 5 3 2 2 1    11  2 2 3 4 3 1 2 2
2015 05 11    15  3 4 3 2 3 2 3 3    26  4 3 4 4 5 5 2 2    15  4 4 3 3 3 2 2 3
2015 05 12    16  3 3 3 3 4 2 3 3    24  3 4 4 4 5 3 3 3    15  3 3 3 3 3 2 3 3
2015 05 13    25  4 4 5 4 3 4 3 3    63  5 6 6 7 5 5 5 3    45  5 6 6 4 4 4 4 4
2015 05 14     9  2 2 3 2 2 1 2 3    11  3 2 3 3 3 2 2 2    10  2 3 3 2 2 1 2 3
2015 05 15     7  2 2 3 2 2 1 1 2    20  2 3 4 6 3 1 1 2     8  2 2 3 2 2 1 1 2
2015 05 16     7  2 1 1 2 3 1 2 2    11  1 2 4 3 4 1 1 1     6  2 1 2 2 2 1 1 2
2015 05 17     6  2 1 2 1 2 2 2 1     3  1 1 2 0 0 2 1 0     6  2 2 2 1 1 1 2 1
2015 05 18    15  2 2 2 3 3 1 3 5    15  2 1 2 4 4 2 3 4    16  2 2 2 3 3 1 3 5
2015 05 19    14  4 4 2 3 2 2 3 2    16  5 3 3 3 2 2 3 1    17  6 4 2 3 2 2 2 1
2015 05 20    10  2 3 2 3 2 2 2 3    11  3 3 2 3 4 2 1 0     7  3 3 2 2 2 1 1 0
2015 05 21     5  1 0 1 2 2 2 2 1     2  0 0 1 1 1 0 1 1     3  0 1 1 1 1 1 1 1
2015 05 22     4  1 1 0 2 2 1 2 1     2  2 1 0 0 1 0 0 0     3  2 1 0 1 1 0 1 0
2015 05 23     5  0 1 1 2 2 2 2 1     2  0 1 1 2 0 1 1 0     4  0 1 1 2 1 1 1 1
2015 05 24     6  1 1 1 1 3 1 2 2     2  1 2 1 0 0 0 1 1     5  1 2 1 1 1 1 1 2
2015 05 25     3  0 0 0 1 2 1 2 1     0  1 0 0 0 0 0 0 0     4  1 1 1 1 1 0 1 1
2015 05 26     6  2 2 2 1 2 2 2 1     6  1 2 2 3 2 2 1 0     6  2 2 2 1 1 2 2 0
2015 05 27     6  0 1 1 1 3 2 2 2     9  0 1 1 2 4 4 0 1     6  1 1 2 1 3 2 1 2
2015 05 28     8  3 2 1 2 2 2 2 2    10  2 3 1 3 4 1 2 1     7  2 2 1 2 2 1 1 2
2015 05 29     5  1 1 1 2 2 1 2 2     4  0 1 1 1 1 2 2 1     7  1 2 2 2 2 2 2 2
2015 05 30     5  1 1 2 1 3 1 1 1     3  0 1 1 1 2 0 1 1     5  1 1 2 1 2 1 1 2
2015 05 31     6  1 1 2 1 2 2 2 2     4  1 1 1 0 1 2 1 2     5  2 1 2 1 1 2 1 2
2015 06 01     9  2 3 1 3 2 2 2 2     8  2 3 2 4 1 1 1 0     8  3 3 2 2 1 1 2 1
2015 06 02     4  0 0 0 1 3 1 2 1     1  1 1 0 0 0 0 0 0     3  1 1 1 1 1 0 1 0
2015 06 03     5  1 0 1 2 3 2 2 0     2  0 1 1 2 1 0 1 0     4  1 1 1 2 2 1 1 0
2015 06 04     4  0 0 1 1 2 3 1 1     0  0 0 0 0 0 0 1 0     3  0 1 0 1 1 1 1 1
2015 06 05     4  1 0 0 2 2 2 2 1     0  0 0 0 0 0 0 0 0     3  0 1 1 1 1 1 1 1
2015 06 06     7  1 3 1 2 3 2 1 1     4  0 3 1 2 2 0 0 1     5  1 2 1 2 2 1 1 1
2015 06 07     8  1 1 1 2 3 2 2 3     5  0 2 1 1 2 1 2 2     7  1 1 1 2 2 1 2 3
2015 06 08    22  4 3 5 4 3 3 3 3    41  3 5 6 4 5 5 5 3    33  4 4 6 4 4 5 3 4
2015 06 09    -1  4 3 3 2 3-1-1-1    -1  4 4 4 2 4-1-1-1    13  4 3 3 2 3 3 3 2
2015 06 10    11 -1-1-1-1-1-1 3 2     4 -1-1-1-1-1-1 0 2    12  3 2 3 3 2 2 3 3
2015 06 11     9  2 2 3 2 3 2 1 2    20  3 4 4 4 4 4 2 1     9  2 3 3 2 2 2 1 1
2015 06 12     8  2 2 1 2 2 3 2 2     7  1 2 2 2 2 3 1 1     7  2 2 1 1 2 2 2 2
2015 06 13    10  3 2 2 3 2 2 2 3    14  3 2 3 4 4 2 2 2    10  3 2 2 3 2 2 2 3
2015 06 14    19  4 3 4 5 3 2 2 2    35  4 3 5 7 3 3 3 2    20  4 3 4 5 2 3 3 3
2015 06 15    13  2 2 3 3 3 3 3 3    39  3 3 5 6 5 6 3 2    14  2 2 3 3 4 3 3 2
2015 06 16    10  2 3 3 2 2 3 1 2    16  3 3 4 3 4 3 1 2    11  3 3 3 2 2 3 2 2
2015 06 17    14  4 3 3 3 3 3 2 1    36  4 3 6 5 4 6 2 1    14  3 3 3 3 4 3 1 1
2015 06 18    -1  2 2 1 1 3 2-1-1    -1  3 2 2 3 4 3-1-1     7  3 2 1 2 2 2 1 1
2015 06 19    -1 -1-1-1-1-1-1-1-1    -1 -1-1-1-1-1-1-1-1     5  3 1 1 1 1 0 0 1
2015 06 20    -1 -1-1-1-1-1-1-1-1    -1 -1-1-1-1-1-1-1-1     3  1 1 1 1 0 0 0 1
2015 06 21    -1 -1-1-1-1-1-1-1-1    -1 -1-1-1-1-1-1-1-1     8  1 1 1 1 1 4 2 3
2015 06 22    57  1 4 5 3 4 5 8 5    81  1 4 5 4 6 7 8 6    55  1 3 4 3 4 5 8 5
2015 06 23    47  6 7 5 4 4 3 4 3    66  6 7 7 5 6 3 3 2    75  7 8 6 5 6 3 4 3
2015 06 24    -1  4-1-1-1-1-1-1-1    35  3 4 6 6 5 3 2 2    17  4 3 4 3 3 3 2 2
2015 06 25    19 -1-1-1-1-1 3 4 3    42  2 2 6 6 6 5 3 3    33  2 2 6 5 5 4 4 4
2015 06 26     9  3 3 2 3 2 0 1 2    13  3 3 4 4 1 1 0 3    10  3 3 2 3 2 1 1 3
2015 06 27     8  2 3 2 2 2 1 1 3    12  3 3 3 3 3 1 2 2     9  2 2 3 2 2 1 2 3
2015 06 28    12  2 3 3 3 3 2 3 2    22  2 4 4 4 5 4 2 1    13  3 3 3 2 3 2 3 2
2015 06 29     6  1 2 2 3 2 1 1 1     9  1 2 3 3 3 2 1 1     6  2 2 2 2 2 1 1 1
2015 06 30     8  1 3 2 1 3 1 2 2     5  2 3 2 0 0 1 1 1     6  1 2 2 1 1 1 2 3
2015 07 01     6  1 0 1 2 2 2 2 3     3  1 1 1 1 1 2 1 0     5  2 1 1 2 2 2 1 1
2015 07 02     4  0 0 1 2 3 1 1 1     1  0 1 1 0 0 0 0 0     3  1 1 1 1 1 0 0 1
2015 07 03     2  0 0 0 1 2 1 1 1     0  0 0 0 1 0 0 0 0     3  0 1 1 1 1 0 0 1
2015 07 04    21  2 2 2 2 4 3 5 5    13  1 2 0 0 4 3 4 4    19  1 2 1 1 3 3 5 5
2015 07 05    16  4 4 2 3 3 2 3 3    31  5 6 3 5 4 2 3 2    25  6 5 3 3 3 2 3 3
2015 07 06     9  3 4 2 1 2 1 2 1    18  4 3 5 4 3 1 2 1    10  4 4 2 2 1 1 2 1
2015 07 07     5  2 1 1 2 2 1 2 1     5  3 1 2 2 1 1 0 1     5  3 1 1 1 1 1 1 1
2015 07 08     5  1 1 1 1 2 2 2 2     5  2 1 2 2 1 2 1 1     5  1 1 1 1 1 2 2 1
2015 07 09     7  1 3 1 2 2 2 2 1     7  2 2 2 1 3 2 1 1     6  1 3 1 1 2 1 1 1
2015 07 10    11  1 1 1 1 2 2 3 5    -1  1 1 0 0 0 1 1-1    10  1 1 1 0 1 1 2 5
2015 07 11    20  4 5 3 3 3 3 2 3    44  6 6 5 4 5 5 3 2    23  4 5 4 3 3 3 4 3
2015 07 12    12  3 3 2 2 3 2 3 3    18  3 3 4 5 3 2 2 2    11  3 3 2 3 2 2 3 3
2015 07 13    22  2 4 4 5 3 3 4 2    45  3 6 6 5 5 5 4 3    32  3 5 5 5 4 4 5 3
2015 07 14     8  3 2 1 2 2 2 2 2     7  3 2 2 1 1 1 2 2     7  3 2 1 1 1 1 2 2
2015 07 15     6  1 2 1 2 2 2 2 2     5  0 2 1 1 2 2 1 2     7  1 2 1 2 2 2 2 3
2015 07 16    15  3 2 2 3 3 2 5 2    15  3 3 3 5 2 2 2 1     8  3 2 2 2 2 2 2 1
2015 07 17     7  2 2 2 1 3 2 1 1     7  2 2 1 3 3 2 0 0     5  2 1 2 1 2 1 1 0
2015 07 18     4  0 1 0 2 2 2 1 1     2  0 1 0 1 1 0 1 0     4  0 1 1 2 1 1 1 1
2015 07 19     3  1 0 0 2 1 2 2 0     1  0 0 1 2 0 0 0 0     3  0 1 1 2 1 1 1 0
2015 07 20     7  1 1 1 3 2 2 2 2     7  0 1 1 4 3 0 1 1     5  1 1 1 2 2 1 1 2
2015 07 21    12  3 3 2 3 2 2 3 3    19  3 3 4 5 4 2 2 2    10  3 3 3 3 2 2 2 3
2015 07 22     9  1 1 1 3 3 3 2 2     7  1 1 0 4 2 2 2 1     8  1 1 1 2 2 3 2 2
2015 07 23    21  3 4 5 3 3 3 3 3    33  3 4 7 4 3 3 3 2    23  3 4 5 3 3 3 4 3
2015 07 24     6  2 1 2 1 2 2 2 1    12  3 1 1 1 5 3 2 1     7  2 2 2 1 2 2 2 2
2015 07 25     9  2 1 2 2 3 2 2 3    12  3 2 3 3 4 1 2 2     9  3 2 3 3 2 1 2 3
2015 07 26     9  3 2 1 3 2 2 2 2     9  2 1 1 4 2 3 2 1     8  3 2 1 3 1 2 2 2
2015 07 27    13  2 2 3 3 2 2 3 4    30  2 2 5 6 5 3 4 2    11  2 2 3 4 3 2 2 2
2015 07 28     9  2 3 2 2 3 2 2 1    18  2 3 3 5 5 2 1 1     9  2 3 2 2 3 2 2 2
2015 07 29     7  2 2 1 2 2 2 3 0    10  2 2 1 4 4 1 1 1     5  2 2 1 1 2 1 2 1
2015 07 30    12  1 2 2 1 3 3 4 3     9  2 2 1 1 3 3 3 2    12  2 2 1 1 2 3 4 4
2015 07 31    16  3 3 2 3 4 3 3 3    15  2 2 2 2 5 3 3 3    14  3 3 2 2 3 4 3 3
2015 08 01     9  3 2 2 3 2 2 2 2     9  3 2 1 2 2 3 2 2    10  3 2 2 2 1 3 2 3
2015 08 02    13  4 3 3 2 3 2 2 2    13  3 2 3 1 5 2 1 1    11  4 2 3 1 3 2 2 2
2015 08 03     9  2 3 3 2 3 2 1 1     7  2 3 2 1 3 1 1 0     6  2 3 2 1 2 1 1 2
2015 08 04     9  2 2 2 2 3 2 1 3     6  2 1 1 2 3 1 1 2     7  2 2 1 1 2 1 1 3
2015 08 05     7  2 1 1 2 2 3 2 2     4  2 2 1 0 1 1 1 1     6  2 1 1 1 2 2 2 2
2015 08 06    12  2 2 3 4 3 2 2 2    25  2 2 4 6 5 3 2 2    11  2 2 2 4 3 2 2 3
2015 08 07    17  3 2 5 3 4 3 2 1    35  2 2 5 6 6 5 2 1    20  3 2 5 3 5 4 2 2
2015 08 08    15  1 3 3 4 3 3 3 3    19  2 2 4 5 4 3 3 2    12  2 2 3 3 3 2 3 3
2015 08 09    10  1 2 2 3 3 2 2 3    33  2 4 4 7 4 3 3 2    10  2 2 3 3 2 2 2 3
